	Sample	Feature	ExpressionGene
0	BA2409	y	5.50426621763009
1	BA2496	y	5.62715965117615
2	BA3037	y	6.49002795768883
3	BA2865	y	6.1921407741856
4	BA2751	y	6.05776567233175
5	BA2286	y	6.04154865344481
6	BA2488	y	6.19690129645258
7	BA3379	y	6.15698094792798
8	BA2887	y	6.0444352624309
9	BA2712	y	5.75681040063766
10	BA2068	y	6.08966256500214
11	BA2104	y	5.3920043604829
12	BA3124	n	6.7478553015081
13	BA2449	y	6.06168577538942
14	BA2235	y	5.74011278993299
15	BA3038	y	5.48611835069995
16	BA3006	y	6.04816746430603
17	BA2667	y	6.03566200297907
18	BA2239	y	5.69838933100617
19	BA2782	n	5.67546263774049
20	BA2649	y	6.31810358288684
21	BA2861	y	5.9027386298111
22	BA2134	y	5.5372259675426
23	BA2909	y	6.02245886806957
24	BA2653	n	6.90161368403515
25	BA2947	y	6.61700352029779
26	BA2162	y	5.92314727428924
27	BA2564	n	5.6860968528657
28	BA2597	y	6.08666258593702
29	BA3243	y	6.03404286985942
30	BA2446	y	5.8769475456825
31	BA2525	y	7.40609048790591
32	BA2876	n	6.59838838471777
33	BA2357	y	6.53695474326822
34	BA2546	y	5.70452449404762
35	BA2742	y	5.61064071002875
36	BA2316	n	5.7725785925433
37	BA2087	y	5.72480376191034
38	BA2148	y	6.33368252669389
39	BA3178	n	5.51345714323729
40	BA2072	y	5.70757619671164
41	BA2733	n	6.0688553647905
42	BA2995	y	6.95960331595656
43	BA2069	y	6.00392077224602
44	BA2681	n	5.64993072157884
45	BA2832	y	6.18950223686314
46	BA2600	n	5.60841425670287
47	BA3230	y	5.95938551876052
48	BA2731	y	5.40702626397137
49	BA2294	y	6.30740738637139
50	BA2816	n	6.34923107690817
51	BA2814	y	5.40625901568549
52	BA2631	y	6.02698748997862
53	BA2023	n	5.64727150122162
54	BA2375	n	5.97812067314416
55	BA2485	n	6.4432415747754
56	BA2455	n	5.55586804682645
57	BA2636	y	5.80376596025215
58	BA2325	y	5.62116214065844
59	BA2156	y	6.28642083726129
60	BA2511	y	6.6441169206914
61	BA2505	n	5.99273740349983
62	BA2871	n	5.04068213537324
63	BA2227	n	6.06801263248952
64	BA2812	y	5.8625242189267
65	BA2125	n	6.18904995277038
66	BA2603	y	5.92875292821339
67	BA2808	n	6.24912819394912
68	BA2482	y	5.69646062028678
69	BA2594	y	5.79758031043752
70	BA2747	y	5.99230630864101
71	BA2561	n	5.87580696816671
72	BA2567	n	6.66943948787905
73	BA2906	n	6.03938413348279
74	BA2956	y	6.16651995068436
75	BA2474	y	5.99645810395014
76	BA2737	y	5.72061360951374
77	BA2110	y	5.60841425670287
78	BA2992	y	5.94431286144935
79	BA2220	y	6.19646958807837
80	BA2063	n	6.97794904447586
81	BA2772	n	6.08835914671386
82	BA2935	n	5.83483518369012
83	BA2260	y	5.55025760092161
84	BA2948	n	6.09345357181028
85	BA3296	y	5.71553086944073
86	BA2524	y	5.75756870973775
87	BA2811	n	6.20050527440426
88	BA2540	y	5.75023036618314
89	BA2928	y	5.54840893277706
90	BA2302	y	6.56065461359229
91	BA2651	y	6.32408741401117
92	BA2619	n	6.30326841219344
93	BA3013	n	5.88643954120856
94	BA2405	n	6.4915209071939
95	BA2856	n	6.23533588980149
96	BA2377	y	6.01373604526196
97	BA2499	y	6.07438042977308
98	BA3023	n	6.13725593051751
99	BA2095	y	6.3078817611491
100	BA2275	n	5.83841841477399
101	BA2901	y	5.83522810280634
102	BA2387	y	5.75528821055756
103	BA2962	y	5.62828464133832
104	BA2195	y	6.03523832777957
105	BA2688	n	6.83919348466817
106	BA2420	n	6.19345543409726
107	BA2053	y	5.98917879350321
108	BA2081	n	6.02496543297874
109	BA2354	y	6.08666258593702
110	BA3273	y	6.01912446509313
111	BA2893	y	5.97361430412984
112	BA2044	n	5.8546289142141
113	BA2489	y	6.37547648198029
114	BA2908	n	6.27158031478995
115	BA2054	n	5.64011484889975
116	BA2872	y	5.78815697396801
117	BA2041	n	6.47228949068298
118	BA2464	n	6.26881149847343
119	BA2902	n	5.96907627794874
120	BA2541	y	6.01912446509313
121	BA2843	y	6.6100656847185
122	BA2497	y	5.81959741153124
123	BA2718	y	6.20525292176704
124	BA2575	y	5.47284204510325
125	BA2593	y	7.15951987646114
126	BA2791	y	6.19874995357892
127	BA2620	y	5.46114309064973
128	BA2629	y	6.7472714933791
129	BA2870	n	6.14026668002857
130	BA2682	n	5.96386071356046
131	BA2276	n	5.9361114629243
132	BA2709	y	5.67583098043324
133	BA2789	y	6.12180366530222
134	BA2538	n	6.74612605168156
135	BA2583	y	6.66119005251722
136	BA2806	y	6.02371028385454
137	BA2441	y	6.36467185423724
138	BA2514	y	6.60209690951209
139	BA2520	y	6.54875546973009
140	BA2479	n	7.27636680044251
141	BA2281	n	6.52170608095191
142	BA2932	y	6.1527015081476
143	BA2123	n	6.73527749858946
144	BA2844	y	6.36227514110898
145	BA2660	y	5.89400600049609
146	BA2836	y	6.25179190765508
147	BA2714	y	5.69757983119209
148	BA2440	y	6.27158031478995
149	BA2036	y	6.40025463094879
150	BA2828	n	5.49725940478877
151	BA2952	y	5.88406214865442
152	BA2410	n	6.26033254809805
153	BA2139	y	5.39929335398575
154	BA2051	n	5.94836876055586
155	BA2532	y	6.37031994316104
156	BA2494	n	6.57247167015578
157	BA2748	y	6.37975842200095
158	BA2622	n	6.13597197195766
159	BA2970	y	6.02937141783307
160	BA2839	y	6.41651938191685
161	BA2868	y	6.02819468374248
162	BA3011	y	6.35627429889414
163	BA2052	y	7.04775148018528
164	BA2510	n	5.81726345497192
165	BA2691	n	5.85381815948029
166	BA2374	n	6.2877927663973
167	BA2804	y	6.05361973784087
168	BA2675	y	5.99436956978052
169	BA2031	y	5.68872421112857
170	BA2198	n	5.85182499561048
171	BA2066	y	5.37928711694374
172	BA2344	y	5.683055970914
173	BA2459	n	6.93219471408877
174	BA2229	y	6.84719227215285
175	BA2559	y	6.06078122712208
176	BA2093	y	7.15557221270197
177	BA2000	y	5.88606180557595
178	BA2425	y	5.99112678530118
179	BA2905	n	6.47426873472503
180	BA2304	y	5.36584838994078
181	BA2976	y	5.9785222997962
182	BA2386	y	6.1180523945273
183	BA2035	y	6.42953951724595
184	BA2760	n	5.88961440143981
185	BA2201	y	5.773700485866
186	BA2355	n	6.6656439229699
187	BA2113	y	6.18950223686314
188	BA2955	y	5.96945929693027
189	BA2322	y	5.61780736228049
190	BA2020	n	6.30050208589508
191	BA2226	y	5.65258967329686
192	BA2376	y	5.46990488253098
193	BA2121	y	6.05448659537988
194	BA2944	y	6.23533588980149
195	BA2033	y	5.98917879350321
196	BA2867	y	6.53145543602281
197	BA2089	y	5.42234890079115
198	BA2224	n	5.99849937933433
199	BA2046	n	6.50002459426286
200	BA2972	y	5.96023036518701
201	BA2978	y	5.69449320412197
202	BA2851	y	5.96505632745959
203	BA2587	n	5.70872171926613
204	BA2024	n	5.52061119799639
205	BA2426	n	5.68872421112857
206	BA2271	y	5.73401055203652
207	BA3004	y	6.33046496181519
208	BA3010	y	5.82392380814807
209	BA2662	y	5.59174174629251
210	BA2658	y	5.77182174756257
211	BA2512	y	5.45674649791294
212	BA2109	y	5.58836680284654
213	BA2242	y	6.07305710536308
214	BA2132	y	6.02077165309049
215	BA2846	n	5.99605530428902
216	BA2521	y	5.71669470584693
217	BA2885	y	5.46663574912202
218	BA2639	y	5.92274484517742
219	BA2775	y	5.92513526908082
220	BA2402	y	6.05529649425473
221	BA2097	y	6.12261931153674
222	BA2399	y	5.95848988053113
223	BA2174	y	5.69295647546023
224	BA3001	y	6.19521896796153
225	BA2911	n	6.04856537740908
226	BA2311	y	5.72290783455204
227	BA3040	y	6.40264148496757
228	BA2724	y	5.7171416432858
229	BA2821	y	5.93038956442244
230	BA2233	y	6.24100946664766
231	BA2744	y	6.04154865344481
232	BA2501	y	6.06036727608855
233	BA2301	n	5.91953516934334
234	BA2880	y	5.68986590376939
235	BA2621	y	5.84710176754198
236	BA2866	n	6.26561634633026
237	BA2212	y	6.1180523945273
238	BA2477	y	6.05488922575061
239	BA2685	n	6.60106588860888
240	BA2273	n	6.36276922003241
241	BA2124	y	6.19874995357892
242	BA2400	y	6.25896920678185
243	BA2762	y	5.78815697396801
244	BA2312	y	5.87096179619199
245	BA2813	y	5.84669771952697
246	BA2211	y	6.40122033716978
247	BA2171	y	6.24592732813786
