Sample	Feature	ExpressionGene
BA2409	negative	4.28287221181771
BA2496	positive	4.23933489780631
BA3037	positive	4.90013515136005
BA2865	negative	4.17058314923078
BA2751	positive	2.58506527889394
BA2286	negative	4.74815204997173
BA2488	negative	4.69293160792587
BA3379	positive	2.0770334234633
BA2887	negative	4.02122678644599
BA2712	negative	4.15267733940571
BA2068	negative	5.78039940452266
BA2104	negative	5.13405333693121
BA3124	negative	1.476380913732
BA2449	negative	1.02625518585044
BA2235	negative	3.82911707265365
BA3038	negative	2.92785784415797
BA3006	positive	3.82956094341535
BA2667	negative	3.18539191254435
BA2239	negative	3.8731578362981
BA2782	negative	3.20402711138277
BA2649	positive	4.09594771036419
BA2861	negative	5.82781183106441
BA2134	negative	3.97877357956691
BA2909	negative	2.7193595880697
BA2653	negative	-0.955019873236662
BA2947	negative	1.88611466547517
BA2162	negative	2.78077782583149
BA2564	negative	3.77297177293419
BA2597	negative	-0.553698651531121
BA3243	positive	2.78886351304532
BA2446	negative	3.86625779235957
BA2525	positive	1.11327352647761
BA2876	negative	2.78509945236717
BA2357	negative	2.54477407549094
BA2546	negative	3.61896542811489
BA2742	positive	2.96756252596824
BA2316	positive	3.40984494980966
BA2087	negative	4.76423948896672
BA2148	negative	2.3981318032461
BA3178	negative	4.10116724752771
BA2072	negative	3.3559427751702
BA2733	negative	4.05481304236777
BA2995	negative	3.29539275507136
BA2069	positive	4.17097982570357
BA2681	negative	2.1564538283059
BA2832	negative	3.49498654848934
BA2600	positive	2.35862915042539
BA3230	positive	1.77852061497003
BA2731	negative	4.66116910371648
BA2294	negative	2.84361014461716
BA2816	negative	2.29274376602721
BA2814	negative	4.64767094792984
BA2631	negative	4.37526276855373
BA2023	negative	4.36422145455571
BA2375	negative	1.74235504558661
BA2485	positive	5.02344029058297
BA2455	negative	3.99750343335924
BA2636	negative	2.37696590491495
BA2325	negative	4.14291109778237
BA2156	negative	7.07626127790368
BA2511	negative	1.80922490282006
BA2505	negative	3.11723962574335
BA2871	negative	2.67895472934526
BA2227	negative	2.32885276073375
BA2812	negative	3.74312437020525
BA2125	negative	2.02093905392642
BA2603	negative	2.94301747727414
BA2808	positive	4.11467686706542
BA2482	negative	2.42732071858121
BA2594	negative	2.79131997623963
BA2747	negative	4.24467569327526
BA2561	negative	5.48834420491023
BA2567	negative	1.05024966488372
BA2906	negative	3.09979908032792
BA2956	negative	2.48258097022462
BA2474	negative	2.37344049776216
BA2737	negative	5.57338620444232
BA2110	positive	3.67451368500847
BA2992	negative	3.24181501348555
BA2220	negative	2.3158600610567
BA2063	negative	1.6503374693223
BA2772	negative	3.99502298261294
BA2935	positive	3.90178344692234
BA2260	negative	3.67722650594103
BA2948	negative	2.56793075437121
BA3296	negative	3.27804422935552
BA2524	negative	3.31414947153612
BA2811	positive	3.75662567787953
BA2540	negative	3.25414811062769
BA2928	negative	4.5701450496218
BA2302	negative	4.20172735067442
BA2651	negative	3.76194677597635
BA2619	negative	4.0418838180317
BA3013	positive	3.41398937183606
BA2405	positive	1.17134115218982
BA2856	negative	3.79635646094548
BA2377	positive	4.76886335817399
BA2499	negative	3.49548425230926
BA3023	negative	2.47709864370168
BA2095	negative	4.43894159347348
BA2275	negative	3.70348083099888
BA2901	negative	4.25302102951399
BA2387	negative	4.86570889780568
BA2962	positive	3.75575291879051
BA2195	negative	3.0525988808909
BA2688	negative	1.64836775921727
