Sample	Feature	ExpressionGene
BA2409	y	0.0277282976235237
BA2496	y	0.0180118773911527
BA3037	y	0.0269825723563539
BA2865	y	0.0391746659256923
BA2751	y	0.0139765547398905
BA2055	n	0.0105476770927894
BA2286	y	0.0365849610625291
BA2488	y	0.0402746842248492
BA3379	y	0.0081983094236468
BA2887	y	0.021983241503262
BA2712	y	0.0336100072709876
BA2068	y	0.052763313586109
BA2104	y	0.0356499735235801
BA3124	y	0.0050673677808733
BA2449	y	0.0008482319348446
BA2235	y	0.0268540192871217
BA3038	y	0.0108567953190121
BA3006	y	0.0227298351607621
BA2667	y	0.0132864120156008
BA2239	y	0.0222874556233588
BA2782	y	0.0181660645612006
BA2649	y	0.0322940815022622
BA2861	y	0.0763212060477853
BA2134	y	0.0232542179068706
BA2909	y	0.0095408450073614
BA2653	y	0.0021473410488977
BA2947	y	0.0078276856793965
BA2162	y	0.0133261902794592
BA2564	y	0.0179590778355227
BA3043	n	0.0176315410376656
BA2597	y	0.0011180474454784
BA3243	y	0.0213873004376782
BA2446	y	0.0286460486397035
BA2525	y	0.0014283802691142
BA2876	y	0.011096688129067
BA2357	y	0.0062357797542228
BA2546	y	0.0186813867329142
BA2742	y	0.0173014340813074
BA2316	y	0.0220943837630622
BA2087	y	0.0403017147068903
BA2148	y	0.0038890431879818
BA3178	y	0.0363100489624268
BA2072	y	0.0185976094869351
BA2733	y	0.0144648140393067
BA2995	y	0.0120729705799261
BA2069	y	0.0384113648580836
BA2681	y	0.0132535032309653
BA2832	y	0.0211356497090883
BA2600	y	0.0109251410547121
BA3230	y	0.0117895274454194
BA2731	y	0.036040851681215
BA2294	y	0.0135938008938149
BA2816	y	0.0081445408466891
BA2814	y	0.0400361093515623
BA2631	y	0.0345531240450398
BA2023	y	0.0408717892563335
BA2375	y	0.0095348385709669
BA2485	y	0.0570843619125411
BA2455	y	0.0272286229585149
BA2636	y	0.0119802222971596
BA2325	y	0.0241954065043978
BA2156	y	0.1282042008264526
BA2511	y	0.0040485084194242
