	Sample	Feature	ExpressionGene
0	BA2409	n	0.204315745002997
1	BA2496	n	0.1166748542849611
2	BA3037	n	0.1013477994000888
3	BA2865	n	0.3736893759729958
4	BA2751	n	0.3180928823491231
5	BA2055	n	0.1016623185336721
6	BA2286	n	0.2924677972517953
7	BA2488	y	0.2479588444473664
8	BA3379	y	0.5875948555881614
9	BA2887	n	0.4958859177084
10	BA2712	y	0.1262065358097874
11	BA2068	y	0.2375133220008568
12	BA2104	y	0.053740668846797
13	BA3124	y	0.4376242267940435
14	BA2449	n	0.2287970587036531
15	BA2235	y	0.175866222457809
16	BA3038	y	0.3578297525563194
17	BA3006	y	0.2601638825930524
18	BA2667	y	0.4348011249922904
19	BA2239	y	0.1714125851037873
20	BA2782	y	0.2503206248094025
21	BA2649	y	0.3679098787072297
22	BA2861	y	0.4621660573420051
23	BA2134	n	0.0978162703224511
24	BA2909	y	0.2885545370370797
25	BA2653	y	0.2516713230269166
26	BA2947	n	0.6337114874670283
27	BA2162	y	0.5336746564791711
28	BA2564	y	0.2903125005311262
29	BA3043	y	0.1855059226545971
30	BA2597	y	0.1956060277048242
31	BA3243	n	0.3456145035073921
32	BA2446	y	0.2001238359012414
33	BA2525	y	0.1242240092794612
34	BA2876	y	0.147970721872509
35	BA2357	y	0.0769123129206903
36	BA2546	y	0.2799703549111725
37	BA2742	y	0.4546269552393785
38	BA2316	y	0.1292452424412816
39	BA2087	y	0.1543080697173639
40	BA2148	y	0.1653780428761621
41	BA3178	n	0.1637235903879918
42	BA2072	y	0.2069594922820808
43	BA2733	y	0.1167841171410904
44	BA2995	y	0.5966495392695071
45	BA2069	y	0.1693877031808799
46	BA2681	y	0.3940031642319385
47	BA2832	n	0.4613646997462846
48	BA2600	y	0.3145612729561897
49	BA3230	y	0.3043778924975232
50	BA2731	y	0.1478344170996834
51	BA2294	y	0.8926650952809216
52	BA2816	y	0.2056657392928692
53	BA2814	y	0.1717759829931584
54	BA2631	y	0.3945279612030792
55	BA2023	y	0.1201300703143848
56	BA2375	y	0.512061926493074
57	BA2485	n	0.4396756763186226
58	BA2455	y	0.345850794601501
59	BA2636	y	0.298505593504929
60	BA2325	y	0.059416367332984
61	BA2156	y	0.6192501045771407
62	BA2511	y	0.1227612292575707
63	BA2505	n	0.2124773452250946
64	BA2871	y	0.5311071929265021
65	BA2227	y	1.1770681874430475
66	BA2812	y	0.1645191045968128
67	BA2125	y	0.4016538372629313
68	BA2603	y	0.2955805106291863
69	BA2808	y	0.3644539186795258
70	BA2482	y	0.3960059195757783
71	BA2594	y	0.318736959768664
72	BA2747	y	0.3549934531535525
73	BA2561	y	0.267564448818346
74	BA2567	y	0.1688990342602005
75	BA2906	y	0.1806856748580074
76	BA2956	y	0.1331000503744939
