Sample	Feature	ExpressionGene
BA2409	1	4.1237457502688
BA2496	1	5.43115262897872
BA3037	1	5.40039592941304
BA2865	1	4.86463645708681
BA2751	1	5.48988184269187
BA2286	1	5.1185297033232
BA2488	1	5.35633645133756
BA3379	1	5.72556301998601
BA2887	1	5.34725969274235
BA2712	2	6.12302701419306
BA2068	2	5.53387100376444
BA2104	1	4.46918025920294
BA3124	1	4.744989372778
BA2449	1	6.11039522609915
BA2235	1	4.73764209982809
BA3038	1	5.72213373131707
BA3006	3	5.49550080381286
BA2667	1	5.57784205345213
BA2239	1	5.13014241250355
BA2782	3	5.10491139366288
BA2649	1	6.15187477635529
BA2861	1	5.57675252591336
BA2134	1	3.92781584362597
BA2909	1	5.0766039980492
BA2653	1	5.31794680182615
BA2947	1	5.99970534098919
BA2162	1	4.18094171508708
BA2564	1	5.72519608896332
BA2597	4	6.6886775034689
BA3243	2	4.17562396984582
BA2446	1	6.07906325231323
BA2525	4	4.68941736509374
BA2876	4	5.38913307968471
BA2357	2	6.42718608083043
BA2546	1	5.14264325331446
BA2742	1	5.12241133726936
BA2316	1	5.5361204470046
BA2087	2	4.72808220076467
BA2148	2	6.00556371466788
BA3178	3	5.29947262046614
BA2072	1	5.80146381261149
BA2733	2	6.3144421792923
BA2995	2	6.36512999451549
BA2069	1	6.08966256500214
BA2681	3	5.93982972127244
BA2832	2	5.63859875243939
BA2600	4	5.31182798555781
BA3230	1	5.70986425222156
BA2731	2	5.32164044187742
BA2294	4	6.04816746430603
BA2816	4	6.26033254809805
BA2814	3	5.66513415407858
BA2631	1	5.76722856076773
BA2023	1	5.54245080282141
BA2375	1	5.19664711091347
BA2485	1	5.47580004129115
BA2455	4	5.39458251066191
BA2636	4	5.25038320893089
BA2325	1	4.00819948287575
BA2156	1	5.70032456019922
BA2511	4	6.19966591698805
BA2505	4	3.99791458399155
BA2871	3	5.2861234484291
BA2227	1	5.75911087985136
BA2812	3	6.26604717378172
BA2125	1	6.15101372135618
BA2603	1	5.88798351527577
BA2808	4	5.22713590568466
BA2482	1	5.79487700443781
BA2594	1	5.49867482524586
BA2747	4	5.29307989811682
BA2561	3	6.07987511764245
BA2567	3	6.01332316435917
BA2906	1	6.24365480544028
BA2956	2	6.8005248227196
BA2474	1	5.35194416070465
BA2737	2	5.69526819057696
BA2110	1	5.29986206219824
BA2992	4	6.42763769743183
BA2220	1	6.42189529871828
BA2063	2	4.91721018578494
BA2772	2	5.69607421457276
BA2935	4	5.69757983119209
BA2260	3	5.42712462599135
BA2948	3	6.00556371466788
BA3296	1	5.81764194891905
BA2524	4	5.34548008260551
BA2811	1	5.69720265968762
BA2540	4	5.05115412774342
BA2928	1	6.18727628290146
BA2302	4	5.46808531788419
BA2651	4	5.40885224287312
BA2619	1	5.43042530271375
BA3013	4	6.31585760088979
BA2405	3	5.44826154156483
BA2856	3	5.97608438156721
BA2377	2	5.04731382080461
BA2499	2	5.43510067241067
BA3023	4	5.34865531492155
BA2095	1	6.41555515164963
BA2275	1	5.50978975058831
BA2901	2	5.38585461790311
BA2387	1	3.41659896255636
BA2962	1	5.73284131564851
BA2195	4	6.2114515075537
BA2688	2	6.10538403903875
BA2420	1	5.64011484889975
BA2053	2	6.18074633883084
BA2081	1	5.75606111415072
BA2354	1	5.39929335398575
BA3273	2	4.80779826591488
BA2893	3	5.5906429058684
BA2044	1	6.22989744594561
BA2489	2	5.74090562795813
BA2908	1	4.99070869170882
BA2054	3	6.33324319286844
BA2872	1	6.50297201387594
BA2041	2	6.05361973784087
BA2464	1	5.16855006190863
BA2902	4	6.07479305709891
BA2541	1	4.74957774721697
BA2843	4	6.7037023558772
BA2497	1	5.51500276467509
BA2718	1	6.11633596300958
BA2575	1	5.07515720571569
BA2593	3	7.19816924570359
BA2791	2	5.04444275985059
BA2620	1	4.01641654454627
BA2629	1	6.05448659537988
BA2870	1	6.19822146547957
BA2682	4	5.36514025423526
BA2276	2	5.91874058491338
BA2709	2	5.70069374807012
BA2789	1	5.41609656191544
BA2538	2	6.33280116885594
BA2583	5	5.5372259675426
BA2806	2	5.60617377123055
BA2441	1	4.88184571425701
BA2514	2	6.32267289165303
BA2520	5	5.76920600167318
BA2479	5	6.08966256500214
BA2281	1	5.8546289142141
BA2932	1	5.51345714323729
BA2123	2	6.17166961813264
BA2844	2	6.7630173908565
BA2660	1	5.37049633306029
BA2836	2	6.25632117467534
BA2714	1	4.88537399325768
BA2440	5	5.57190904546529
BA2036	3	4.9227991604453
BA2828	1	4.99851357395831
BA2952	1	5.02619905861961
BA2410	2	5.35671343237345
BA2139	3	4.39445609206128
BA2051	5	5.68759563054623
BA2532	2	5.50203062931775
BA2494	5	6.64631169310032
BA2748	1	6.2114515075537
BA2622	1	4.78188212473359
BA2970	2	6.91665453342353
BA2839	2	5.37675910366016
BA2868	3	5.83483518369012
BA3011	1	5.86019583665539
BA2052	2	7.07994856692804
BA2510	5	5.42161592263156
BA2691	1	4.00036361734849
BA2374	1	6.77775850085893
BA2804	5	6.31492475633183
BA2675	1	5.14967422759909
BA2031	1	5.25385282871793
BA2198	3	5.31682531575163
BA2066	1	5.78265919367654
BA2344	3	5.28538104551213
BA2459	2	6.56890360423702
BA2229	5	5.41716478810556
BA2559	5	6.23708437608245
