Sample	Feature	ExpressionGene
BA2409	negative	8.8525926437112
BA2496	negative	6.65958088429919
BA3037	positive	6.50698545533974
BA2865	positive	9.61949185438657
BA2751	negative	9.48875791800016
BA2286	negative	9.18338030789918
BA2488	negative	8.79328666582968
BA3379	negative	9.83892848550566
BA2887	negative	8.24509615455004
BA2712	negative	8.65565049707964
BA2068	positive	8.38100696139026
BA2104	positive	9.13342062895717
BA3124	negative	6.07264657026384
BA2449	negative	5.80773323921587
BA2235	positive	9.4917929010063
BA3038	negative	6.73222274372854
BA3006	positive	9.27569316532541
BA2667	negative	10.040753132835
BA2239	positive	9.55927298456459
BA2782	positive	7.1956195388029
BA2649	negative	8.94424486652991
BA2861	negative	6.87718695252014
BA2134	negative	6.92559422045597
BA2909	negative	7.12505562496802
BA2653	negative	-0.687378911865671
BA2947	negative	8.7174580058356
BA2162	negative	8.89122942781574
BA2564	negative	8.08701091285537
BA2597	negative	3.19146280756599
BA3243	negative	9.75851596885508
BA2446	negative	8.64171611871059
BA2525	positive	3.80426788372329
BA2876	negative	3.5928295499371
BA2357	negative	8.1981158996604
BA2546	negative	7.13359161213086
BA2742	negative	8.91420804405317
BA2316	negative	8.79328666582968
BA2087	negative	9.3884596253967
BA2148	negative	5.78615399709568
BA3178	negative	10.0818938676199
BA2072	negative	7.2925108116234
BA2733	negative	7.77161485169371
BA2995	negative	10.0007468429699
BA2069	positive	9.2592593958878
BA2681	negative	7.09568366825665
BA2832	negative	8.72438748273975
BA2600	negative	9.01306871894599
BA3230	negative	7.54295367203655
BA2731	negative	7.98067391429632
BA2294	negative	8.89449191470128
BA2816	negative	8.97142354261209
BA2814	negative	9.25517667754352
BA2631	positive	9.22687989289351
BA2023	negative	8.37180321609369
BA2375	negative	8.3972661940189
BA2485	positive	9.87029536698913
BA2455	positive	9.95541459791256
BA2636	negative	7.24301197621157
BA2325	positive	7.88342196520891
BA2156	negative	8.70690950167434
BA2511	negative	4.75484190831669
BA2505	negative	9.27156918109996
BA2871	negative	9.17171491689544
BA2227	negative	9.90525526471174
BA2812	negative	6.75946045637828
BA2125	negative	6.44756726036546
BA2603	positive	8.60608533344799
BA2808	negative	8.67537853618004
BA2482	negative	7.80956394588893
BA2594	negative	9.56915130536806
BA2747	negative	9.16398396797258
BA2561	negative	9.87474271994728
BA2567	negative	2.50793166232776
BA2906	negative	10.7149459001776
BA2956	negative	8.44966638628301
BA2474	positive	9.12586826213153
BA2737	negative	11.5238128563748
BA2110	positive	8.15671254170946
BA2992	negative	7.48695721637732
BA2220	negative	4.48295485202788
BA2063	negative	1.69252928638777
BA2772	positive	8.89122942781574
BA2935	negative	8.45209623715645
BA2260	negative	8.34007975821985
BA2948	negative	5.20013137153335
BA3296	negative	3.95847739460523
BA2524	negative	7.95765939482996
BA2811	negative	8.89122942781574
BA2540	negative	10.332335723606
BA2928	negative	9.62975620855742
BA2302	negative	8.86857724833819
BA2651	negative	8.71853926395486
BA2619	negative	8.08701091285537
BA3013	negative	8.2618544484033
BA2405	negative	8.96800104667789
BA2856	positive	5.75302384911337
BA2377	positive	7.92215119859177
BA2499	negative	7.49358396361658
BA3023	positive	7.31397253852267
BA2095	negative	8.80867768640892
BA2275	negative	6.23576326993081
BA2901	positive	7.36623727973933
BA2387	negative	9.20300948929151
BA2962	negative	9.91143332054624
BA2195	negative	6.65130744059523
BA2688	negative	5.68948586565832
