	Sample	Feature	ExpressionGene
0	BA2409	y	0.1995133954729653
1	BA2496	y	0.0325592960790975
2	BA3037	y	0.0256996863474993
3	BA2865	y	0.2873539447833729
4	BA2751	y	0.2488293425114849
5	BA2055	n	0.0692263566578528
6	BA2286	y	0.3031781319703975
7	BA2488	y	0.1798836482168092
8	BA3379	y	0.4844460118862972
9	BA2887	y	0.1504116381326597
10	BA2712	y	0.1230088974893028
11	BA2068	y	0.1326585126864312
12	BA2104	y	0.2146907051518777
13	BA3124	y	0.016735108892073
14	BA2449	y	0.0240157121684368
15	BA2235	y	0.3294557612104918
16	BA3038	y	0.0920123245244742
17	BA3006	y	0.2054097670502385
18	BA2667	y	0.3820325617580296
19	BA2239	y	0.225862421279131
20	BA2782	y	0.1183281139981584
21	BA2649	y	0.2130042690222609
22	BA2861	y	0.0325759142453382
23	BA2134	y	0.0297692906135673
24	BA2909	y	0.0597336908085538
25	BA2653	y	0.0
26	BA2947	y	0.3080614108946236
27	BA2162	y	0.3006712508185986
28	BA2564	y	0.1537820484413391
29	BA3043	n	0.036576583895889
30	BA2597	y	0.0005613247263541
31	BA3243	y	0.7047099576052115
32	BA2446	y	0.1780950411391937
33	BA2525	y	0.001543642997474
34	BA2876	y	0.0033156319088487
35	BA2357	y	0.0879759565908878
36	BA2546	y	0.0596099777932059
37	BA2742	y	0.2444218355318551
38	BA2316	y	0.149902629855582
39	BA2087	y	0.2176185798484423
40	BA2148	y	0.0073852361749166
41	BA3178	y	0.4946427955940933
42	BA2072	y	0.046540097788676
43	BA2733	y	0.0767328438975631
44	BA2995	y	0.3390339798415488
45	BA2069	y	0.2637210659261119
46	BA2681	y	0.0350495590646557
47	BA2832	y	0.2314639742775406
48	BA2600	y	0.2517572172080496
49	BA3230	y	0.1215723493409358
50	BA2731	y	0.0690478652426744
51	BA2294	y	0.2354098655282607
52	BA2816	y	0.2809368706638896
53	BA2814	y	0.2534959697869428
54	BA2631	y	0.2489862918593143
55	BA2023	y	0.1295189102422067
56	BA2375	y	0.162568134481587
57	BA2485	y	0.3433177738058309
58	BA2455	y	0.3088436956832159
59	BA2636	y	0.0649259445273301
60	BA2325	y	0.113906450802842
61	BA2156	y	0.1919379736177378
62	BA2511	y	0.0025259612685938
63	BA2505	y	0.2215478529329217
64	BA2871	y	0.2720529220891127
65	BA2227	y	0.8333154841918154
66	BA2812	y	0.0661366087123506
67	BA2125	y	0.0450321530742376
68	BA2603	y	0.3175682329596092
69	BA2808	y	0.1189392932232349
70	BA2482	y	0.0649234825767759
71	BA2594	y	0.2620537099132901
72	BA2747	y	0.3001290062090392
73	BA2561	y	0.6167173828480829
74	BA2567	y	0.000280662363177
75	BA2906	y	0.5170625483157796
76	BA2956	y	0.0499080461468011
77	BA2474	y	0.1641831740451325
78	BA2737	y	0.9530801463383408
79	BA2006	n	0.0449275201756847
80	BA2110	y	0.0990122654376609
81	BA2915	n	0.0259114140951593
82	BA2992	y	0.0974852406064276
83	BA2220	y	0.0073852361749166
84	BA2063	y	0.0001403311815885
85	BA2772	y	0.1467630274113574
86	BA2935	y	0.1245193041542953
87	BA2260	y	0.1586413233476619
88	BA2948	y	0.0140688164418905
89	BA3296	y	0.0064029179037968
90	BA2524	y	0.1280989802600804
91	BA2811	y	0.2046200964099837
92	BA2540	y	0.5518148268510175
93	BA2928	y	0.3118952833951283
94	BA2302	y	0.2037614911542116
95	BA2651	y	0.1060811409663648
96	BA2619	y	0.0778364132334766
97	BA3013	y	0.150868329960461
98	BA2405	y	0.1165536631362295
99	BA2856	y	0.0131745129030828
100	BA2377	y	0.179003500893688
101	BA2499	y	0.0490660590572698
102	BA2350	n	0.0522936762338065
103	BA3023	y	0.1025396250941696
104	BA2095	y	0.1814106730480425
105	BA2275	y	0.0862753642455844
106	BA2901	y	0.0342598884244008
107	BA2387	y	0.4029326755001452
108	BA2962	y	0.5944139572900818
109	BA2195	y	0.0459098384468046
110	BA2688	y	0.0099111974435105
111	BA2420	y	0.5459923137903698
112	BA2053	y	0.0303472335061622
113	BA2081	y	0.2014472576332777
114	BA2354	y	0.3678018720672014
115	BA3273	y	0.1403742657232472
116	BA2893	y	0.2403571551668956
117	BA2044	y	0.3404779138415784
118	BA2489	y	0.0092095415355678
119	BA2908	y	0.3184003722469238
120	BA2054	y	0.1182567174320871
121	BA2872	y	0.0298049888966029
122	BA2041	y	0.053804082898799
123	BA2464	y	0.2654265821725237
124	BA2902	y	0.1608343058038022
125	BA2541	y	0.0836613882446784
126	BA2843	y	0.2274085262271592
127	BA2497	y	0.0613105701385093
128	BA2718	y	0.1145724084277491
129	BA2575	y	0.0474177831612429
130	BA2593	y	0.2357502301923768
131	BA2791	y	0.1058337149356692
132	BA2620	y	0.2260384507437552
133	BA2629	y	0.7396216474388329
134	BA2870	y	1.4399093263610894
135	BA2682	y	0.2774045871062726
136	BA2276	y	0.0255950534489465
