	Sample	Feature	ExpressionGene
0	BA2409	Bone Marrow Aspirate	8.8525926437112
1	BA2496	Bone Marrow Aspirate	6.65958088429919
2	BA3037	Bone Marrow Aspirate	6.50698545533974
3	BA2865	Bone Marrow Aspirate	9.61949185438657
4	BA2751	Leukapheresis	9.48875791800016
5	BA2286	Bone Marrow Aspirate	9.18338030789918
6	BA2488	Bone Marrow Aspirate	8.79328666582968
7	BA3379	Bone Marrow Aspirate	9.83892848550566
8	BA2887	Bone Marrow Aspirate	8.24509615455004
9	BA2712	Peripheral Blood	8.65565049707964
10	BA2068	Bone Marrow Aspirate	8.38100696139026
11	BA2104	Peripheral Blood	9.13342062895717
12	BA3124	Bone Marrow Aspirate	6.07264657026384
13	BA2449	Bone Marrow Aspirate	5.80773323921587
14	BA2235	Bone Marrow Aspirate	9.4917929010063
15	BA3038	Bone Marrow Aspirate	6.73222274372854
16	BA3006	Peripheral Blood	9.27569316532541
17	BA2667	Bone Marrow Aspirate	10.040753132835
18	BA2239	Bone Marrow Aspirate	9.55927298456459
19	BA2782	Bone Marrow Aspirate	7.1956195388029
20	BA2649	Bone Marrow Aspirate	8.94424486652991
21	BA2861	Bone Marrow Aspirate	6.87718695252014
22	BA2134	Peripheral Blood	6.92559422045597
23	BA2909	Bone Marrow Aspirate	7.12505562496802
24	BA2653	Peripheral Blood	-0.687378911865671
25	BA2947	Peripheral Blood	8.7174580058356
26	BA2162	Peripheral Blood	8.89122942781574
27	BA2564	Peripheral Blood	8.08701091285537
28	BA2597	Peripheral Blood	3.19146280756599
29	BA3243	Bone Marrow Aspirate	9.75851596885508
30	BA2446	Bone Marrow Aspirate	8.64171611871059
31	BA2525	Peripheral Blood	3.80426788372329
32	BA2876	Peripheral Blood	3.5928295499371
33	BA2357	Bone Marrow Aspirate	8.1981158996604
34	BA2546	Bone Marrow Aspirate	7.13359161213086
35	BA2742	Leukapheresis	8.91420804405317
36	BA2316	Bone Marrow Aspirate	8.79328666582968
37	BA2087	Peripheral Blood	9.3884596253967
38	BA2148	Peripheral Blood	5.78615399709568
39	BA3178	Peripheral Blood	10.0818938676199
40	BA2072	Bone Marrow Aspirate	7.2925108116234
41	BA2733	Peripheral Blood	7.77161485169371
42	BA2995	Bone Marrow Aspirate	10.0007468429699
