	Sample	Feature	ExpressionGene
0	BA2409	negative	7.52082148621471
1	BA2496	positive	6.59256890621003
2	BA3037	positive	5.44138513248386
3	BA2865	negative	6.97794904447586
4	BA2751	positive	7.15246698865564
5	BA2286	negative	6.15608719552673
6	BA2488	negative	6.35757561884313
7	BA3379	positive	5.94263228316548
8	BA2887	negative	5.85144934754927
9	BA2712	negative	7.45375064871774
10	BA2068	negative	4.80607814010981
11	BA2104	negative	7.73732673360922
12	BA3124	negative	4.22136650202706
13	BA2449	negative	4.22750729569156
14	BA2235	negative	7.1956195388029
15	BA3038	negative	7.20973552997534
16	BA3006	positive	6.49699294257919
17	BA2667	negative	6.49799553338119
18	BA2239	negative	7.14764743423536
19	BA2782	negative	6.64358377452482
20	BA2649	positive	6.23214914518013
21	BA2861	negative	7.03549223810054
22	BA2134	negative	6.53396722315737
23	BA2909	negative	6.34548467937847
24	BA2653	negative	4.90152753707883
25	BA2947	negative	4.83268199793827
26	BA2162	negative	5.33028268437174
27	BA2564	negative	6.85832315809809
28	BA2597	negative	2.84361014461716
29	BA3243	positive	5.4843036495526
30	BA2446	negative	6.55661288461065
31	BA2525	positive	3.65728472785622
32	BA2876	negative	3.20185478187358
33	BA2357	negative	3.69392175101973
34	BA2546	negative	7.33073792117204
35	BA2742	positive	9.09600320401444
36	BA2316	positive	9.05942450247106
37	BA2087	negative	4.8688411127684
38	BA2148	negative	4.42623541625347
39	BA3178	negative	6.28908084563445
40	BA2072	negative	6.78074983432615
41	BA2733	negative	4.2236378258506
42	BA2995	negative	4.54341837856977
43	BA2069	positive	6.95150045701844
44	BA2681	negative	5.34829013725005
45	BA2832	negative	5.24140893715519
46	BA2600	positive	5.22500574588553
47	BA3230	positive	5.34936654533728
48	BA2731	negative	6.19120375825818
49	BA2294	negative	5.51205399141146
50	BA2816	negative	4.97525881373139
51	BA2814	negative	7.64895583047878
52	BA2631	negative	6.47620808782314
53	BA2023	negative	7.42928783450574
54	BA2375	negative	5.84864920436747
55	BA2485	positive	6.60051001058414
56	BA2455	negative	6.61484329859941
57	BA2636	negative	2.95707573664305
58	BA2325	negative	7.31937809888862
59	BA2156	negative	6.53347844553203
60	BA2511	negative	3.63778681479032
61	BA2505	negative	4.82328175599878
62	BA2871	negative	5.56596083132182
63	BA2227	negative	4.77735183811143
64	BA2812	negative	5.82934773365488
65	BA2125	negative	6.43000064848533
66	BA2603	negative	6.25896920678185
67	BA2808	positive	5.30025672574144
68	BA2482	negative	6.93954050250455
69	BA2594	negative	6.94945791531145
70	BA2747	negative	5.23068767781653
71	BA2561	negative	7.35863482899504
72	BA2567	negative	3.40936163024976
73	BA2906	negative	6.56583781452914
74	BA2956	negative	4.93680420181051
75	BA2474	negative	6.41993290039897
76	BA2737	negative	7.00490622738367
77	BA2110	positive	6.60579006500373
78	BA2992	negative	5.29873886453286
79	BA2220	negative	5.88005273032646
80	BA2063	negative	2.864896220199
81	BA2772	negative	4.20752353675978
82	BA2935	positive	5.76293182295601
83	BA2260	negative	6.30695343234241
84	BA2948	negative	4.45829690708788
85	BA3296	negative	6.14235074085009
86	BA2524	negative	4.71338041148762
87	BA2811	positive	5.95983280142242
88	BA2540	negative	5.10108468850577
89	BA2928	negative	6.62899851308068
90	BA2302	negative	4.35980493218316
91	BA2651	negative	4.51902825678144
92	BA2619	negative	6.57921927462639
93	BA3013	positive	6.23486418682469
94	BA2405	positive	4.63387310843381
95	BA2856	negative	4.64521147205465
96	BA2377	positive	4.72354417544082
97	BA2499	negative	3.58175052756526
98	BA3023	negative	3.85081185407147
99	BA2095	negative	6.09645228197541
100	BA2275	negative	6.14149524736616
101	BA2901	negative	5.0241682886734
102	BA2387	negative	6.07906325231323
103	BA2962	positive	7.45670028367566
104	BA2195	negative	4.08320598972476
105	BA2688	negative	3.23858596558685
106	BA2420	negative	5.91360220597683
107	BA2053	negative	5.25892746258291
108	BA2081	negative	7.18078818168097
109	BA2354	negative	6.26203648745747
110	BA3273	negative	4.10948809536277
111	BA2893	positive	5.61817308697624
112	BA2044	negative	6.28823715765654
113	BA2489	negative	3.22332800972844
114	BA2908	negative	6.09727224274201
115	BA2054	negative	6.44947039282618
116	BA2872	negative	5.47433300541024
117	BA2041	negative	3.74848704611698
118	BA2464	negative	6.04982213026608
119	BA2902	positive	5.08617132532278
120	BA2541	negative	6.29556241973791
121	BA2843	positive	4.576912820314
122	BA2497	negative	7.27462693268534
123	BA2718	negative	6.75597489483719
124	BA2575	negative	7.35298985161002
125	BA2593	positive	7.86375133258917
126	BA2791	negative	3.89144729146833
127	BA2620	positive	7.07695814218809
128	BA2629	negative	6.1725191860544
129	BA2870	negative	7.69160326863138
130	BA2682	negative	5.90076617867574
131	BA2276	negative	4.91022290966011
132	BA2709	negative	6.54150806703429
133	BA2789	negative	5.91554817043997
134	BA2538	negative	4.37307759807115
135	BA2583	negative	5.2008194787507
136	BA2806	positive	6.08879387607679
137	BA2441	negative	5.83369852515391
138	BA2514	negative	4.5993645555515
139	BA2520	negative	4.59723676314568
140	BA2479	negative	2.61422648503115
141	BA2281	positive	5.98958134739074
142	BA2932	positive	7.48594354331146
143	BA2123	negative	4.52334899104318
144	BA2844	negative	5.43657703696705
145	BA2660	positive	6.80545390529169
146	BA2836	negative	4.62427313618414
147	BA2714	negative	7.14998539597838
148	BA2440	negative	5.27576605306409
149	BA2036	negative	6.68593691853273
150	BA2828	negative	6.34322095252985
151	BA2952	negative	7.21378004978512
152	BA2410	positive	4.9819516092596
