	Sample	Feature	ExpressionGene
0	BA2409	Bone Marrow Aspirate	6.82851443258156
1	BA2496	Bone Marrow Aspirate	8.28311530497155
2	BA3037	Bone Marrow Aspirate	8.03722226484621
3	BA2865	Bone Marrow Aspirate	7.78959302181462
4	BA2751	Leukapheresis	8.18796359837961
5	BA2286	Bone Marrow Aspirate	8.48158973981744
6	BA2488	Bone Marrow Aspirate	7.92699657991781
7	BA3379	Bone Marrow Aspirate	8.50160207030541
8	BA2887	Bone Marrow Aspirate	8.79635277497105
9	BA2712	Peripheral Blood	8.63894476137773
10	BA2068	Bone Marrow Aspirate	8.32228693534529
11	BA2104	Peripheral Blood	7.5725144548201
12	BA3124	Bone Marrow Aspirate	7.54733361982974
13	BA2449	Bone Marrow Aspirate	9.26335235036244
14	BA2235	Bone Marrow Aspirate	7.79956921933088
15	BA3038	Bone Marrow Aspirate	7.93502206043898
16	BA3006	Peripheral Blood	8.15090969693391
17	BA2667	Bone Marrow Aspirate	8.40664550150058
18	BA2239	Bone Marrow Aspirate	7.47952389617521
19	BA2782	Bone Marrow Aspirate	7.29077391107671
20	BA2649	Bone Marrow Aspirate	8.78108213178214
21	BA2861	Bone Marrow Aspirate	8.59798330037588
22	BA2134	Peripheral Blood	7.41497012248878
23	BA2909	Bone Marrow Aspirate	7.35673455123978
24	BA2653	Peripheral Blood	8.88978486658959
25	BA2947	Peripheral Blood	8.22627943224245
26	BA2162	Peripheral Blood	7.46474071975909
27	BA2564	Peripheral Blood	8.24301678047805
28	BA2597	Peripheral Blood	7.85205086731265
29	BA3243	Bone Marrow Aspirate	7.96905854853838
30	BA2446	Bone Marrow Aspirate	8.52190108216259
31	BA2525	Peripheral Blood	6.8791208631907
32	BA2876	Peripheral Blood	7.46260985261637
33	BA2357	Bone Marrow Aspirate	8.73910632748104
34	BA2546	Bone Marrow Aspirate	8.06706072393759
35	BA2742	Leukapheresis	7.80094268898657
36	BA2316	Bone Marrow Aspirate	8.04414638908848
37	BA2087	Peripheral Blood	8.4934060566155
38	BA2148	Peripheral Blood	7.08821062221174
39	BA3178	Peripheral Blood	8.03550248502968
40	BA2072	Bone Marrow Aspirate	8.53215993801742
41	BA2733	Peripheral Blood	8.22650342209935
42	BA2995	Bone Marrow Aspirate	8.41846114844672
43	BA2069	Bone Marrow Aspirate	8.65565049707964
44	BA2681	Bone Marrow Aspirate	8.51679913189176
45	BA2832	Peripheral Blood	8.3695120975799
46	BA2600	Peripheral Blood	8.16254296358662
47	BA3230	Peripheral Blood	8.51934782702254
48	BA2731	Peripheral Blood	7.72809482559201
49	BA2294	Bone Marrow Aspirate	8.69249597847146
50	BA2816	Bone Marrow Aspirate	8.27244095196937
51	BA2814	Peripheral Blood	8.7332018546727
52	BA2631	Bone Marrow Aspirate	8.03722226484621
53	BA2023	Bone Marrow Aspirate	7.84567146798846
54	BA2375	Peripheral Blood	7.84127876561754
55	BA2485	Bone Marrow Aspirate	8.52886682883828
56	BA2455	Peripheral Blood	7.18644077892568
57	BA2636	Peripheral Blood	8.25554427681065
58	BA2325	Peripheral Blood	7.05796014084047
59	BA2156	Bone Marrow Aspirate	8.78108213178214
60	BA2511	Peripheral Blood	7.46784096415085
61	BA2505	Peripheral Blood	8.14705635633251
62	BA2871	Peripheral Blood	7.80682500789732
63	BA2227	Bone Marrow Aspirate	8.0301567645062
64	BA2812	Peripheral Blood	8.25764420926654
65	BA2125	Bone Marrow Aspirate	8.3695120975799
66	BA2603	Bone Marrow Aspirate	7.97230357086309
67	BA2808	Peripheral Blood	8.20213208675208
68	BA2482	Bone Marrow Aspirate	8.43037965011906
69	BA2594	Bone Marrow Aspirate	8.40194775982719
70	BA2747	Peripheral Blood	8.55813210635661
71	BA2561	Bone Marrow Aspirate	8.07789379739417
72	BA2567	Peripheral Blood	6.56478809528508
73	BA2906	Peripheral Blood	8.95099667095566
74	BA2956	Peripheral Blood	7.83985748399556
75	BA2474	Bone Marrow Aspirate	7.82988769642495
76	BA2737	Peripheral Blood	8.0301567645062
77	BA2110	Bone Marrow Aspirate	7.17595663951225
78	BA2992	Bone Marrow Aspirate	8.37180321609369
79	BA2220	Bone Marrow Aspirate	8.79022656584331
80	BA2063	Peripheral Blood	6.611693175134
81	BA2772	Peripheral Blood	8.22445433533228
82	BA2935	Peripheral Blood	8.03369173116136
83	BA2260	Peripheral Blood	8.23267071257109
84	BA2948	Peripheral Blood	7.3014086607396
85	BA3296	Bone Marrow Aspirate	7.7045927999637
86	BA2524	Peripheral Blood	8.30037965468589
87	BA2811	Bone Marrow Aspirate	8.49156043324924
88	BA2540	Bone Marrow Aspirate	7.64636707538027
89	BA2928	Peripheral Blood	9.16398396797258
90	BA2302	Peripheral Blood	8.06706072393759
91	BA2651	Bone Marrow Aspirate	7.83268389248944
92	BA2619	Peripheral Blood	8.57129520837751
93	BA3013	Bone Marrow Aspirate	9.13342062895717
94	BA2405	Peripheral Blood	8.57394218930808
95	BA2856	Peripheral Blood	6.83661488155882
96	BA2377	Bone Marrow Aspirate	8.70296361717243
97	BA2499	Peripheral Blood	8.30909856685695
98	BA3023	Peripheral Blood	8.57129520837751
99	BA2095	Peripheral Blood	9.33883912107995
100	BA2275	Bone Marrow Aspirate	8.24717893447311
101	BA2901	Bone Marrow Aspirate	7.69288267465993
102	BA2387	Bone Marrow Aspirate	7.88494695067266
103	BA2962	Bone Marrow Aspirate	8.59529250724368
104	BA2195	Peripheral Blood	8.20012237793382
105	BA2688	Peripheral Blood	7.81385914418798
106	BA2420	Bone Marrow Aspirate	8.65006116973985
107	BA2053	Peripheral Blood	8.13938594647296
108	BA2081	Bone Marrow Aspirate	8.62242404966029
109	BA2354	Bone Marrow Aspirate	8.03197078783115
110	BA3273	Peripheral Blood	8.71530617987172
111	BA2893	Bone Marrow Aspirate	7.97069985635942
112	BA2044	Bone Marrow Aspirate	8.60067902691643
113	BA2489	Bone Marrow Aspirate	8.3311533449718
114	BA2908	Bone Marrow Aspirate	8.46065657230778
115	BA2054	Bone Marrow Aspirate	7.90191887122195
116	BA2872	Bone Marrow Aspirate	8.7420670822246
117	BA2041	Bone Marrow Aspirate	9.11460476788528
118	BA2464	Bone Marrow Aspirate	8.03197078783115
119	BA2902	Bone Marrow Aspirate	7.84883391972247
120	BA2541	Bone Marrow Aspirate	8.09989277486394
121	BA2843	Bone Marrow Aspirate	9.00955709168753
122	BA2497	Bone Marrow Aspirate	8.52190108216259
123	BA2718	Bone Marrow Aspirate	9.77539354132974
124	BA2575	Bone Marrow Aspirate	8.0044307958278
125	BA2593	Leukapheresis	7.29348678773891
126	BA2791	Bone Marrow Aspirate	7.98067391429632
127	BA2620	Bone Marrow Aspirate	7.72809482559201
128	BA2629	Bone Marrow Aspirate	8.34906675857089
129	BA2870	Bone Marrow Aspirate	8.60608533344799
130	BA2682	Peripheral Blood	8.11478606741055
131	BA2276	Bone Marrow Aspirate	8.5872495962732
132	BA2709	Bone Marrow Aspirate	8.36722488709977
133	BA2789	Bone Marrow Aspirate	8.77501554362266
134	BA2538	Peripheral Blood	8.78108213178214
135	BA2583	Bone Marrow Aspirate	8.68676863894814
136	BA2806	Peripheral Blood	8.20012237793382
137	BA2441	Peripheral Blood	8.31347995218337
138	BA2514	Bone Marrow Aspirate	8.09800077099819
139	BA2520	Peripheral Blood	8.96458579397726
140	BA2479	Peripheral Blood	7.08297551023298
141	BA2281	Bone Marrow Aspirate	8.48906113697349
142	BA2932	Bone Marrow Aspirate	8.48906113697349
143	BA2123	Bone Marrow Aspirate	9.3735473533766
144	BA2844	Bone Marrow Aspirate	8.96800104667789
145	BA2660	Bone Marrow Aspirate	8.65565049707964
146	BA2836	Peripheral Blood	8.06147774301482
147	BA2714	Peripheral Blood	7.85633367820174
148	BA2440	Bone Marrow Aspirate	7.89883083701412
149	BA2036	Peripheral Blood	7.88793681406652
150	BA2828	Peripheral Blood	8.0095286113404
151	BA2952	Bone Marrow Aspirate	7.71347289714959
152	BA2410	Bone Marrow Aspirate	8.30255392241405
153	BA2139	Peripheral Blood	6.79931174111644
154	BA2051	Bone Marrow Aspirate	7.5032888272442
155	BA2532	Bone Marrow Aspirate	7.76614073791854
156	BA2494	Peripheral Blood	8.41135949860071
157	BA2748	Bone Marrow Aspirate	8.85577669200061
158	BA2622	Bone Marrow Aspirate	7.29431703031285
159	BA2970	Bone Marrow Aspirate	8.42798766039968
160	BA2839	Bone Marrow Aspirate	8.62516478231551
161	BA2868	Peripheral Blood	8.84624370479657
162	BA3011	Bone Marrow Aspirate	7.85205086731265
163	BA2052	Bone Marrow Aspirate	8.74800571415782
164	BA2510	Peripheral Blood	8.79942491234482
165	BA2691	Peripheral Blood	7.21224786715344
166	BA2374	Bone Marrow Aspirate	9.14863087419242
167	BA2804	Bone Marrow Aspirate	8.83362186336888
168	BA2675	Peripheral Blood	8.34456564828853
169	BA2031	Bone Marrow Aspirate	7.68134464101013
170	BA2198	Bone Marrow Aspirate	8.64171611871059
171	BA2066	Bone Marrow Aspirate	7.64377441186557
172	BA2344	Peripheral Blood	8.97142354261209
173	BA2459	Bone Marrow Aspirate	8.80432724529814
174	BA2229	Peripheral Blood	7.46065818949753
175	BA2559	Bone Marrow Aspirate	7.72417589543797
176	BA2093	Bone Marrow Aspirate	8.51679913189176
177	BA2000	Leukapheresis	9.25517667754352
178	BA2425	Peripheral Blood	8.29571260021178
179	BA2905	Peripheral Blood	8.42798766039968
180	BA2304	Bone Marrow Aspirate	7.59101188148724
181	BA2976	Bone Marrow Aspirate	8.13938594647296
182	BA2386	Peripheral Blood	8.05626383418968
183	BA2035	Peripheral Blood	8.904319577833
184	BA2760	Bone Marrow Aspirate	7.83268389248944
185	BA2201	Bone Marrow Aspirate	7.88494695067266
186	BA2355	Bone Marrow Aspirate	7.42415546195164
187	BA2113	Bone Marrow Aspirate	9.00613487905274
188	BA2955	Bone Marrow Aspirate	7.60765864505298
189	BA2322	Bone Marrow Aspirate	8.41608983118813
190	BA2020	Bone Marrow Aspirate	8.87824586229709
191	BA2226	Bone Marrow Aspirate	7.35863482899504
192	BA2376	Bone Marrow Aspirate	6.9944372976249
193	BA2121	Bone Marrow Aspirate	8.45696872743274
194	BA2944	Peripheral Blood	8.7420670822246
195	BA2033	Peripheral Blood	6.87847286019697
196	BA2867	Bone Marrow Aspirate	8.68391306436784
197	BA2089	Leukapheresis	7.5725144548201
198	BA2224	Bone Marrow Aspirate	8.09804401257278
199	BA2046	Bone Marrow Aspirate	9.16784487350203
200	BA2972	Bone Marrow Aspirate	8.54249270039127
201	BA2978	Peripheral Blood	7.48490734822992
