Sample	Feature	ExpressionGene
BA2409	negative	6.89778124838191
BA2496	negative	5.51241676925768
BA3037	positive	5.49725940478877
BA2865	positive	8.38563253120242
BA2751	negative	2.3627073872351
BA2286	negative	8.5872495962732
BA2488	negative	7.52428329559334
BA3379	negative	8.66689198102969
BA2887	negative	8.0301567645062
BA2712	negative	0.402949581289092
BA2068	positive	6.7421473941764
BA2104	positive	0.598455727053896
BA3124	negative	6.29048213777498
BA2449	negative	6.87788091401863
BA2235	positive	8.0044307958278
BA3038	negative	7.71347289714959
BA3006	positive	5.2871864159011
BA2667	negative	8.75396729152058
BA2239	positive	5.0610421966443
BA2782	positive	5.3063518272781
BA2649	negative	6.45042558800672
BA2861	negative	7.79956921933088
BA2134	negative	6.16187946786899
BA2909	negative	6.47866220517702
BA2653	negative	0.779913057719338
BA2947	negative	6.64131489127646
BA2162	negative	8.27031665707811
BA2564	negative	6.76240903317338
BA2597	negative	5.54658259376352
BA3243	negative	7.38062061343463
BA2446	negative	2.69090003434147
BA2525	positive	4.05402094746754
BA2876	negative	6.00881830211778
BA2357	negative	5.46954197713849
BA2546	negative	6.5518017021576
BA2742	negative	3.1321279031107
BA2316	negative	3.27431420538309
BA2087	negative	8.58375614592974
BA2148	negative	7.71472395965624
BA3178	negative	6.71780036034788
BA2072	negative	7.31397253852267
BA2733	negative	7.2371970090631
BA2995	negative	5.70643173596218
BA2069	positive	4.07958610816328
BA2681	negative	6.69356109841864
BA2832	negative	7.30411511402805
BA2600	negative	5.59027419096801
BA3230	negative	6.93827202821145
BA2731	negative	6.4137172012398
BA2294	negative	8.904319577833
BA2816	negative	5.36072833704901
BA2814	negative	4.23701647161103
BA2631	positive	7.37396310701658
BA2023	negative	-0.425828695317915
BA2375	negative	7.47830743039593
BA2485	positive	7.17116786854616
BA2455	positive	0.213349457050806
BA2636	negative	6.64186594668035
BA2325	positive	4.27232629182903
BA2156	negative	8.99558616821901
BA2511	negative	4.81690090080098
BA2505	negative	6.69861654752334
BA2871	negative	6.4442145827922
BA2227	negative	6.87084783224833
BA2812	negative	0.390163792184238
BA2125	negative	7.24473994098098
BA2603	positive	6.26033254809805
BA2808	negative	6.80486837491
BA2482	negative	8.51425498508966
BA2594	negative	7.31665510949842
BA2747	negative	6.53543485984192
BA2561	negative	1.51130448384538
BA2567	negative	1.72847085742469
BA2906	negative	6.151452910791
BA2956	negative	5.88606180557595
BA2474	positive	7.37771038448057
BA2737	negative	3.93165864889064
BA2110	positive	3.98774117772589
BA2992	negative	5.40957494113667
BA2220	negative	5.05504885396523
BA2063	negative	2.4375086335962
BA2772	positive	5.93332587992066
BA2935	negative	6.4108151402329
BA2260	negative	4.5552347102947
BA2948	negative	7.64255001400601
BA3296	negative	4.19910119394124
BA2524	negative	7.27555120012057
BA2811	negative	5.21501701134356
BA2540	negative	5.98011491063707
BA2928	negative	6.05650405294687
BA2302	negative	6.56685915377229
BA2651	negative	6.88867708372879
BA2619	negative	8.67821802831458
BA3013	negative	5.69333061318898
BA2405	negative	5.94473215258657
BA2856	positive	5.36476332195428
BA2377	positive	6.32635613681556
BA2499	negative	8.03722226484621
BA3023	positive	5.91320591729895
BA2095	negative	5.73627139725326
BA2275	negative	7.82833379039141
BA2901	positive	4.75201016058728
BA2387	negative	8.6279105840654
BA2962	negative	6.10621461216555
BA2195	negative	6.92111028015582
BA2688	negative	5.64352989350398
BA2420	negative	7.9003747386446
BA2053	negative	7.50105244518025
BA2081	negative	8.48656626341456
BA2354	negative	9.28155652487085
BA3273	negative	0.651829022283505
BA2893	positive	6.14672505812723
BA2044	negative	7.70961368830257
BA2489	negative	5.95233629524957
BA2908	negative	7.7071077714624
BA2054	positive	5.13193342655662
BA2872	negative	6.41806054956223
BA2041	negative	6.14889515620208
BA2464	negative	7.70197141870837
BA2902	positive	5.85341733924409
BA2541	negative	7.62080780455831
BA2843	negative	7.68775219309565
BA2497	negative	-1.79323399416306
BA2718	negative	7.99739906746641
BA2575	negative	5.99724316529864
BA2593	negative	5.69295647546023
BA2791	negative	6.3688389446517
BA2620	negative	7.19985683529985
BA2629	negative	5.91637612602088
BA2870	positive	2.62348222679061
BA2682	negative	7.64895583047878
BA2276	negative	5.42161592263156
BA2709	negative	6.00841658197255
BA2789	positive	8.25344779136567
BA2538	negative	5.37928711694374
BA2583	negative	7.81538872947805
BA2806	positive	7.51084212363206
BA2441	negative	7.72277870826456
BA2514	negative	5.86940153677441
BA2520	negative	4.68486735962429
BA2479	positive	3.64055833212888
BA2281	negative	4.88780360986739
BA2932	negative	7.52657913903788
BA2123	positive	6.19874995357892
BA2844	negative	7.31484141146978
BA2660	negative	5.87260128091849
BA2836	positive	7.15078589361001
BA2714	positive	7.35673455123978
BA2440	negative	5.83560892628546
BA2036	positive	5.0083041453619
BA2828	negative	7.44544500262934
BA2952	negative	4.05764463767079
BA2410	positive	7.51527675972318
BA2139	positive	1.49445405603774
BA2051	negative	5.25714318052804
BA2532	negative	4.7790741086654
BA2494	negative	6.43793151264448
BA2748	negative	7.62437772428186
BA2622	negative	4.83724303208421
BA2970	positive	5.98303645552473
BA2839	negative	7.48490734822992
BA2868	negative	6.52324588492183
BA3011	negative	3.98080879790434
BA2052	negative	5.78192253760815
BA2510	negative	6.50804753914762
BA2691	negative	1.42234206716286
BA2374	negative	7.01983909137586
BA2804	negative	5.98220791058853
BA2675	negative	7.92045916247849
BA2031	negative	4.36276075031951
BA2198	negative	6.53495824677914
BA2066	negative	5.94221717949707
BA2344	negative	5.28107931681894
BA2459	negative	5.17241204196236
BA2229	negative	7.33250978911574
BA2559	negative	4.47062750328023
BA2093	negative	8.6697155276332
BA2000	negative	7.94314055717551
BA2425	negative	5.65372634921578
BA2905	negative	7.50539293842063
BA2304	negative	-0.736047992509252
BA2976	negative	6.62737493861003
BA2386	positive	6.41227021268222
BA2035	negative	5.79487700443781
BA2760	negative	5.5985184260425
BA2201	positive	5.93777047922961
BA2355	negative	4.98897342757444
BA2113	negative	8.53327685252825
BA2955	negative	4.5391313162393
BA2322	negative	7.97894297933459
BA2020	positive	5.28216189346069
BA2226	positive	5.88838394030345
BA2376	positive	3.16972930293428
BA2121	negative	5.77488348222962
BA2944	negative	6.94758145894243
BA2033	negative	5.59251221721887
BA2867	negative	8.57394218930808
BA2089	negative	3.23189129338738
BA2224	negative	8.09067732991193
BA2046	negative	7.94314055717551
BA2972	negative	8.02685700006077
BA2978	negative	4.44482165400227
BA2851	negative	8.58992566833602
BA2587	negative	8.15284092667829
BA2024	positive	6.07479305709891
BA2426	negative	6.97110220501606
BA2271	positive	-0.425828695317915
BA3004	positive	6.43437499992686
BA3010	negative	4.41460197309359
BA2662	positive	5.59027419096801
BA2658	negative	5.58159000678894
BA2512	positive	2.98186111032531
BA2109	negative	4.81867438751018
BA2242	positive	4.90326139384486
BA2132	negative	6.09600230844392
BA2846	positive	7.00565090016862
BA2521	positive	6.90558799283489
BA2885	positive	1.13209845200278
BA2639	negative	8.95438322249582
BA2775	positive	3.52621202722456
BA2402	negative	6.7630173908565
BA2097	negative	7.10771088589405
BA2399	negative	6.48220324595878
BA2174	negative	6.06843510757967
BA3001	positive	7.12590219224429
BA2911	positive	6.75946045637828
BA2311	negative	4.39292391038912
BA3040	negative	7.90803356905227
BA2724	positive	4.5990180150559
BA2821	negative	8.00107447892983
BA2233	positive	6.24592732813786
BA2744	positive	6.45401948854285
BA2501	negative	5.07976129224881
BA2301	positive	3.86710818348133
BA2880	negative	4.97805997780333
BA2621	negative	3.5362979263788
BA2866	negative	6.35306835134338
BA2212	negative	6.32036876736161
BA2477	positive	8.57659398663682
BA2685	negative	5.48468121276611
BA2273	negative	7.37675245327076
BA2124	positive	6.65845499115322
BA2400	positive	8.25764420926654
BA2762	positive	7.60044547310861
BA2312	negative	7.8894951557827
BA2813	positive	6.33918453468976
BA2211	positive	5.28073246291878
BA2171	positive	6.40503611780804
BA2746	positive	4.63527142594282
BA2798	negative	7.01129464656936
BA2588	positive	7.66735491479546
BA2296	negative	7.55867055300222
BA2300	negative	6.90492530830845
BA2545	negative	5.62868512576849
BA2840	negative	4.79032535890257
BA2528	negative	6.79158437688518
BA2646	negative	7.53867754134672
BA2926	negative	7.01543819204674
BA2272	negative	6.3423350524195
BA2306	negative	5.04621645682115
BA2726	positive	-1.00974723907371
BA2234	negative	2.12152501264232
BA2022	negative	6.15311168314809
BA2037	negative	9.4045391740165
BA2184	negative	8.44966638628301
BA3009	negative	5.96264354381231
BA2442	negative	6.41897137635364
BA2882	negative	3.53291440511488
BA2570	negative	7.24138386390375
BA2721	negative	6.34190143280827
BA2728	negative	6.63655252284443
BA2098	positive	4.7941665840707
BA2951	negative	6.73467335194796
BA2778	positive	3.17944274470636
BA3153	negative	5.02619905861961
BA2820	positive	6.19646958807837
BA2704	positive	7.27022547665066
BA2584	negative	3.43900565903568
BA3079	negative	6.59785150913547
BA2361	negative	5.51462217129908
BA2472	negative	4.23625755420962
BA2047	negative	5.53758769155616
BA2101	negative	7.01271335596315
BA2082	negative	8.0179995830141
BA2456	positive	0.240701063558228
BA2175	negative	5.41173058943586
BA2507	negative	7.49457772487061
BA2563	positive	3.16152901437988
BA2984	positive	5.55778136463102
BA2414	negative	8.45696872743274
BA2697	negative	3.02935460711532
BA2644	negative	6.33046496181519
BA2011	negative	4.6706843537504
BA2217	negative	8.64449262965366
BA2454	negative	7.15951987646114
BA2776	positive	5.87139334737162
BA2135	negative	7.52987979374564
BA2914	positive	4.80249649532499
BA2500	negative	5.25002967084118
BA3108	negative	9.03429954865997
BA2303	positive	3.81737153202812
BA2160	positive	7.32489473499785
BA2590	positive	7.03196402344294
BA3195	negative	7.83268389248944
BA3036	negative	7.26503778677364
BA2971	negative	8.84806156927188
BA3410	negative	6.36512999451549
BA3118	negative	6.67724465459247
BA3206	negative	9.08862153045619
BA3217	negative	4.81514527019492
BA3405	negative	5.70948396756837
BA3306	positive	4.17828103107484
