Sample	Feature	ExpressionGene
BA2409	1	5.57784205345213
BA2496	1	4.91721018578494
BA3037	1	5.79758031043752
BA2865	1	3.82643284935341
BA2751	1	5.09181307158236
BA2286	1	6.06680993243889
BA2488	1	6.115497606055
BA3379	1	6.34548467937847
BA2887	1	7.29687122589928
BA2712	2	6.39979504855395
BA2068	2	4.11937931431274
BA2104	1	5.8741844767795
BA3124	1	4.55984699428466
BA2449	1	5.52613507813266
BA2235	1	5.78265919367654
BA3038	1	5.61854349527025
BA3006	3	5.6136719252465
BA2667	1	5.6533576160666
BA2239	1	5.73973435709854
BA2782	3	4.96056549164342
BA2649	1	5.66896511766701
BA2861	1	6.02537342172354
BA2134	1	4.67851917211729
BA2909	1	4.93787007420288
BA2653	1	5.17988483740919
BA2947	1	5.19270680337974
BA2162	1	5.70411525165464
BA2564	1	5.37049633306029
BA2597	4	4.83969192429889
BA3243	2	5.85221585492824
BA2446	1	4.89556194108676
BA2525	4	4.96790413366632
BA2876	4	4.65902094233579
BA2357	2	5.69333061318898
BA2546	1	5.02586431491849
BA2742	1	5.71875787711221
BA2316	1	5.76958048788937
BA2087	2	5.19306746583258
BA2148	2	5.643896541446
BA3178	3	4.6706843537504
BA2072	1	5.26422678605003
BA2733	2	5.24829517363935
BA2995	2	4.66892449910139
BA2069	1	4.62677440639043
BA2681	3	5.15991412935849
BA2832	2	5.05612890915165
BA2600	4	5.89840678151491
BA3230	1	5.71138116672011
BA2731	2	5.69992958447881
BA2294	4	5.79243605583809
BA2816	4	4.98090324897363
BA2814	3	4.7544864013138
BA2631	1	5.4219819546052
BA2023	1	4.78223236558204
BA2375	1	5.58195119803049
BA2485	1	5.81122081776697
BA2455	4	5.06846235610609
BA2636	4	5.20580811763554
BA2325	1	5.76760186750385
BA2156	1	5.96264354381231
BA2511	4	4.49812951936181
BA2505	4	5.66975458997346
BA2871	3	4.56241346311177
BA2227	1	5.90555861314736
BA2812	3	4.71228778841804
BA2125	1	2.83995764525686
BA2603	1	5.43185845277898
BA2808	4	4.27117193332197
BA2482	1	5.95848988053113
BA2594	1	5.63898508100245
BA2747	4	5.16996358060136
BA2561	3	4.25338542457735
BA2567	3	4.43461919303822
BA2906	1	5.66896511766701
BA2956	2	4.80215496386561
BA2474	1	5.59924503664906
BA2737	2	4.94737367870267
BA2110	1	5.19905874334484
BA2992	4	5.64537882327743
BA2220	1	6.07098245209084
BA2063	2	5.33137556428865
BA2772	2	6.19299832162761
BA2935	4	5.79321150053106
BA2260	3	5.25212702368123
BA2948	3	4.17486970202677
BA3296	1	4.87132809398228
BA2524	4	5.6860968528657
BA2811	1	5.89400600049609
BA2540	4	5.7964028219612
BA2928	1	4.9459530906601
BA2302	4	5.37196237255135
BA2651	4	5.59101551435814
BA2619	1	5.06069232646451
BA3013	4	5.88406214865442
BA2405	3	5.24575571846811
BA2856	3	6.5181383405608
BA2377	2	5.46663574912202
BA2499	2	5.05115412774342
BA3023	4	5.14333563165067
BA2095	1	5.84550446886256
BA2275	1	5.82467709721848
BA2901	2	5.91677233397116
BA2387	1	6.05237874936092
BA2962	1	6.54204262926234
BA2195	4	5.37312143803315
BA2688	2	5.02166116680108
BA2420	1	5.65599688789121
BA2053	2	5.96505632745959
BA2081	1	5.57561187049385
BA2354	1	5.32125964978542
BA3273	2	5.30709421446943
BA2893	3	5.52461336373262
BA2044	1	5.45598777768521
BA2489	2	5.45453875829906
BA2908	1	5.81689436620779
BA2054	3	5.10037153191854
BA2872	1	6.23442968340786
BA2041	2	5.71368801694621
BA2464	1	5.70491386927085
BA2902	4	5.22891334115747
BA2541	1	5.12912170108083
BA2843	4	5.64653817010519
BA2497	1	4.56273420723196
BA2718	1	5.94473215258657
BA2575	1	5.36221790332293
BA2593	3	5.05150276276395
BA2791	2	5.94431286144935
BA2620	1	5.21707666601671
BA2629	1	4.88537399325768
BA2870	1	5.39347949789235
BA2682	4	5.40222355803693
BA2276	2	5.60307224652995
BA2709	2	5.74822587560422
BA2789	1	5.52576079897821
BA2538	2	5.9059700222253
BA2583	5	5.92833030401015
BA2806	2	5.95684170085543
BA2441	1	5.65863949770921
BA2514	2	5.27616019362885
BA2520	5	5.33576426911165
BA2479	5	4.56443432948235
BA2281	1	6.0506842235686
BA2932	1	5.61705644687941
BA2123	2	6.16350618566062
BA2844	2	5.92116291399342
BA2660	1	5.40885224287312
BA2836	2	5.30815083168029
BA2714	1	5.69101987952385
BA2440	5	5.16601742444171
BA2036	3	5.95155236115049
BA2828	1	5.00138468547848
BA2952	1	4.7294761413518
BA2410	2	5.70908891657494
BA2139	3	4.63351777229065
BA2051	5	4.60044314753987
BA2532	2	5.33137556428865
BA2494	5	4.32782844937903
BA2748	1	6.01085432269812
BA2622	1	4.66045693150639
BA2970	2	5.03114997890888
BA2839	2	5.07765464665844
BA2868	3	5.52613507813266
BA3011	1	5.88684341274268
BA2052	2	5.08724621964291
BA2510	5	4.43894159347348
BA2691	1	4.87201227243281
BA2374	1	5.42783552982912
BA2804	5	5.98876336939614
BA2675	1	6.0158165147387
BA2031	1	4.55810401615774
BA2198	3	5.42234890079115
BA2066	1	4.88434905752633
BA2344	3	5.7225158734594
BA2459	2	5.62345429299126
BA2229	5	5.59699754908342
BA2559	5	5.21327609576147
BA2093	1	5.55401941905853
BA2000	3	5.82429929461363
BA2425	1	5.01396182671468
BA2905	5	5.24967382044831
BA2304	3	5.00937843163613
BA2976	1	5.49691431965408
BA2386	2	5.90476239808708
BA2035	1	5.48394657614029
BA2760	5	5.68455719692803
BA2201	1	5.65976789792763
BA2355	5	4.66541353379402
BA2113	1	6.00217391087634
BA2955	1	4.75728686785541
BA2322	1	4.13475326785948
BA2020	3	6.30510036258626
BA2226	1	5.76760186750385
BA2376	1	4.77065815234219
BA2121	1	4.84667846300999
BA2944	3	5.329925126861
BA2033	5	4.80920574953976
BA2867	2	5.59251221721887
BA2089	1	5.29082273845723
BA2224	1	5.14753496903294
BA2046	2	5.2861234484291
BA2972	1	5.37423056792449
BA2978	1	5.15813337264782
BA2851	1	5.84902054263974
BA2587	1	5.66975458997346
BA2024	1	5.0417365543682
BA2426	5	5.4113491881704
BA2271	1	5.48722924756522
BA3004	1	5.14860760321253
BA3010	6	5.50906918074594
BA2662	1	4.90290605930519
BA2658	1	5.21813047946163
BA2512	3	4.71338041148762
BA2109	1	5.31467365253871
BA2242	1	5.4780108909795
BA2132	6	5.0858317095795
BA2846	1	6.02456199069166
BA2521	1	5.14897313746415
BA2885	1	5.84033923053389
BA2639	1	5.77728199716427
BA2775	3	5.05080635120384
BA2402	1	5.62791586544625
BA2097	4	5.23892002460204
BA2399	2	5.96264354381231
BA2174	1	6.0158165147387
BA3001	1	5.67621163724687
BA2911	1	5.89960125866496
BA2311	2	5.40260210506482
BA3040	4	4.3767436118866
BA2724	2	5.78501009572694
BA2821	1	6.23081198982986
BA2233	4	5.49620333322403
BA2744	1	5.15241850385527
BA2501	3	5.15277462061388
BA2301	5	4.95541894516983
BA2880	5	5.2086813639994
BA2621	6	5.51462217129908
BA2866	4	5.60426678344538
BA2212	2	5.14082982502073
BA2477	1	5.96305194548373
BA2685	6	5.01074843435653
BA2273	6	4.64767094792984
BA2124	3	5.35633645133756
BA2400	1	5.50645735096181
BA2762	2	5.73479862078324
BA2312	3	5.33399944565982
BA2813	5	5.86701172235977
BA2211	1	5.45636731851438
BA2171	1	6.06552141810206
BA2746	5	5.25533462705562
BA2798	6	5.59326337181961
BA2588	1	5.23174307005196
BA2296	1	5.63551782963557
BA2300	3	4.37747367025385
BA2545	1	4.63387310843381
BA2840	1	4.19332061557143
BA2528	1	5.14647024119966
BA2646	1	5.20580811763554
BA2926	3	5.18090832776529
BA2272	1	5.19342572013905
BA2306	6	5.50390789293429
BA2726	1	4.6710347813887
BA2234	1	5.33434095977632
BA2022	3	5.05791386338245
BA2037	1	6.07391847012236
BA2184	1	5.7029799601513
BA3009	1	4.90849079326492
BA2442	3	5.76920600167318
BA2882	1	5.06349803977467
BA2570	2	6.58462737788517
BA2721	1	5.7195036401558
BA2728	1	5.831768285151
BA2098	1	5.70718051097657
BA2951	3	5.44938273019865
BA2778	1	5.48165003338094
BA3153	5	4.7551991824947
BA2820	1	5.40185770956234
BA2704	1	5.52722818483542
BA2584	3	3.98452321231944
BA3079	3	4.17216658075893
BA2361	5	4.56443432948235
BA2472	2	4.59116887928136
BA2047	1	5.15703871631077
BA2101	1	4.55984699428466
BA2082	2	5.21363189314042
BA2456	2	4.78395897231084
BA2175	2	3.54070430618183
BA2507	5	5.07408997846094
BA2563	3	5.47985391817048
BA2984	1	5.63744547532296
BA2414	5	5.46918779660883
BA2697	3	5.0125152177557
BA2644	3	4.64236314712384
BA2011	3	4.45392538410679
BA2217	1	5.99230630864101
BA2454	2	5.15140387829057
BA2776	1	5.83445972810738
BA2135	6	3.01642870638086
BA2914	1	5.4000323249
BA2500	1	5.6643875190661
BA3108	1	5.47468192920396
BA2303	3	5.09496926322148
BA2160	3	5.46699044359427
BA2590	5	5.80891216118178
BA3195	5	5.78265919367654
BA3036	2	5.84150393894181
BA2971	6	4.80607814010981
BA3410	8	4.90326139384486
BA3118	2	5.15458212031302
BA3206	1	5.12457690285862
BA3217	5	5.78229337378321
BA3405	3	5.26497574003642
BA3306	5	5.6643875190661
BA3413	3	5.76798676791736
BA3411	1	5.09892293720879
BA3133	1	5.48321215171909
BA3451	1	5.34586747430917
BA3286	1	5.31291388141722
BA3212	1	5.35671343237345
BA3103	2	5.41537284408079
BA3271	1	6.0515207109664
BA3152	1	4.27270368057429
BA3095	1	5.55098169089264
BA3251	5	5.25677566453511
BA3362	1	4.61860462077756
BA3135	8	6.13077087437702
BA3408	8	4.56209270470882
BA3098	3	5.88961440143981
BA3435	1	5.39639906035364
BA3261	1	5.73815706346076
BA3203	6	4.7294761413518
BA3299	6	5.47284204510325
BA3347	5	5.1854645874519
BA3126	1	5.83331901871842
BA3418	8	4.72494162147075
BA3245	5	5.01074843435653
BA3085	1	5.40850770905471
BA3171	1	5.45416753884009
BA3277	5	5.76798676791736
BA3157	1	6.25354722820146
BA3433	5	5.44938273019865
