Sample	Feature	ExpressionGene
BA2409	negative	7.04918884608735
BA2496	negative	7.41308925427417
BA3037	positive	7.32024083349665
BA2865	positive	7.38062061343463
BA2751	negative	7.26424108951115
BA2286	negative	7.88191833711993
BA2488	negative	7.66988409314176
BA3379	negative	7.62806217739621
BA2887	negative	7.5098325342709
BA2712	negative	7.91895915389096
BA2068	positive	7.92045916247849
BA2104	positive	7.20712924024302
BA3124	negative	7.77581260088951
BA2449	negative	7.66369633945432
BA2235	positive	7.44242521067177
BA3038	negative	7.25611345915688
BA3006	positive	7.70582137825133
BA2667	negative	7.39349126897836
BA2239	positive	7.3445927403943
BA2782	positive	7.27805701193436
BA2649	negative	7.48163507084779
BA2861	negative	7.21463160604536
BA2134	negative	7.45053981568106
BA2909	negative	7.47212920454885
BA2653	negative	7.88642489400613
BA2947	negative	7.24138386390375
BA2162	negative	7.39043320737024
BA2564	negative	7.38361760058351
BA2597	negative	7.11817234858432
BA3243	negative	7.05292631391108
BA2446	negative	7.85777881958234
BA2525	positive	7.53197491812839
BA2876	negative	7.44644074627456
BA2357	negative	8.22036612888066
BA2546	negative	7.25271736240743
BA2742	negative	7.40900238551148
BA2316	negative	7.42825345365406
BA2087	negative	7.3548407117676
BA2148	negative	7.39734461578024
BA3178	negative	8.06706072393759
BA2072	negative	7.24732283099868
BA2733	negative	7.76884228347361
BA2995	negative	7.52776715607633
BA2069	positive	7.86519796261888
BA2681	negative	7.78681257977187
BA2832	negative	7.7605970351598
BA2600	negative	7.59930957213068
BA3230	negative	7.80543655113692
BA2731	negative	6.99516443206292
BA2294	negative	7.72941398094
BA2816	negative	7.48382605156173
BA2814	negative	7.94314055717551
BA2631	positive	7.44839655086442
BA2023	negative	8.13747585819058
BA2375	negative	7.21542521128511
BA2485	positive	7.63041516939983
BA2455	positive	7.85931538761176
BA2636	negative	7.54625616208849
BA2325	positive	7.08148396341999
BA2156	negative	7.4372988989966
BA2511	negative	7.69160326863138
BA2505	negative	7.47316503302079
BA2871	negative	7.36252362510307
BA2227	negative	7.40900238551148
BA2812	negative	7.70330320958059
BA2125	negative	7.90803356905227
BA2603	positive	7.46260985261637
BA2808	negative	7.43426786956565
BA2482	negative	7.69288267465993
BA2594	negative	7.88342196520891
BA2747	negative	7.57131151688563
BA2561	negative	7.31397253852267
BA2567	negative	7.61949698331246
BA2906	negative	7.78681257977187
BA2956	negative	7.80094268898657
BA2474	positive	7.73732673360922
BA2737	negative	7.84567146798846
BA2110	positive	7.30313040589717
BA2992	negative	7.64135506224067
BA2220	negative	7.7729524118183
BA2063	negative	7.45275636284168
BA2772	positive	7.44443985803447
BA2935	negative	7.28622892412638
BA2260	negative	7.74263536016322
BA2948	negative	8.20414503388581
BA3296	negative	7.59565623174131
BA2524	negative	7.48933909555342
BA2811	negative	7.55189787670547
BA2540	negative	7.02480711295981
BA2928	negative	7.87430709609213
BA2302	negative	7.77981753787371
BA2651	negative	7.38560317769133
BA2619	negative	8.27670009201677
BA3013	negative	7.66735491479546
BA2405	negative	7.83268389248944
BA2856	positive	7.42415546195164
BA2377	positive	7.21134659078952
BA2499	negative	8.57659398663682
BA3023	positive	7.16795764916514
BA2095	negative	7.64778904816974
BA2275	negative	7.75510135803604
BA2901	positive	7.57003408038875
BA2387	negative	7.70197141870837
BA2962	negative	7.64636707538027
BA2195	negative	7.77846043065093
BA2688	negative	7.88494695067266
BA2420	negative	7.92699657991781
BA2053	negative	7.31127241928996
BA2081	negative	6.88034277223335
BA2354	negative	7.54295367203655
BA3273	negative	6.80239867331755
BA2893	positive	7.52987979374564
BA2044	negative	7.83268389248944
BA2489	negative	7.92364245319313
BA2908	negative	8.0232452349054
BA2054	positive	7.65513327960109
BA2872	negative	7.72545959564587
BA2041	negative	8.38795127420314
BA2464	negative	7.46997411625783
BA2902	positive	7.74666982029682
BA2541	negative	7.5932544466496
BA2843	negative	7.84423149870525
BA2497	negative	8.18416035809344
BA2718	negative	7.17595663951225
BA2575	negative	7.27205163282357
BA2593	negative	5.31182798555781
BA2791	negative	7.85205086731265
BA2620	negative	7.42519569680361
BA2629	negative	7.46065818949753
BA2870	positive	7.65898516432112
BA2682	negative	7.41889646736553
BA2276	negative	7.89717932578411
BA2709	negative	7.46065818949753
BA2789	positive	7.61362919863888
BA2538	negative	8.01457218763256
BA2583	negative	7.94936162159169
BA2806	positive	7.74951233053604
BA2441	negative	7.166329054571
BA2514	negative	8.32855007142913
BA2520	negative	7.40108920011618
BA2479	positive	7.99413751864958
BA2281	negative	8.68962960513866
BA2932	negative	7.84734534450722
BA2123	positive	8.27883495411433
BA2844	negative	7.67233847579442
BA2660	negative	7.90654028957083
BA2836	positive	7.5552619353094
BA2714	positive	7.617186143553
BA2440	negative	8.10359885745946
BA2036	positive	7.89108706846145
BA2828	negative	7.51732737025111
BA2952	negative	7.8894951557827
BA2410	positive	7.67233847579442
BA2139	positive	7.33796606665151
BA2051	negative	7.35764711965898
BA2532	negative	8.13938594647296
BA2494	negative	7.64002978197542
BA2748	negative	7.70064711748054
BA2622	negative	7.69420627031986
BA2970	positive	7.85777881958234
BA2839	negative	7.5098325342709
BA2868	negative	7.30861526987379
BA3011	negative	8.23220511312821
BA2052	negative	8.0044307958278
BA2510	negative	8.04591780353771
BA2691	negative	7.2977714926992
BA2374	negative	7.23974353995359
BA2804	negative	7.98386019261508
BA2675	negative	7.41497012248878
BA2031	negative	7.50647222464875
BA2198	negative	7.6112304020112
BA2066	negative	7.01407346260423
BA2344	negative	7.76334677298606
BA2459	negative	7.82406690467398
BA2229	negative	7.34644203598481
BA2559	negative	7.36047250037276
BA2093	negative	8.65845299235754
BA2000	negative	7.560948520145
BA2425	negative	7.4827611671997
BA2905	negative	7.75780436658957
BA2304	negative	7.18644077892568
BA2976	negative	7.18731663184627
BA2386	positive	7.42519569680361
BA2035	negative	7.69420627031986
BA2760	negative	7.76334677298606
BA2201	positive	7.27205163282357
BA2355	negative	8.2409408040855
BA2113	negative	7.70961368830257
BA2955	negative	7.2371970090631
BA2322	negative	6.90877033903166
BA2020	positive	7.45275636284168
BA2226	positive	7.16795764916514
BA2376	positive	7.24390327644845
BA2121	negative	7.05132427456444
BA2944	negative	7.33618294917006
BA2033	negative	7.92215119859177
BA2867	negative	7.33529770605395
BA2089	negative	7.3614587281193
BA2224	negative	7.8210975174081
BA2046	negative	7.36910502551481
BA2972	negative	6.87337102503918
BA2978	negative	7.10160504306164
BA2851	negative	7.25611345915688
BA2587	negative	7.139939970706
BA2024	positive	7.22204702944845
BA2426	negative	7.34837532536667
BA2271	positive	7.2588778562729
BA3004	positive	7.46894970580743
BA3010	negative	7.41308925427417
BA2662	positive	7.27718305881569
BA2658	negative	6.91137383646976
BA2512	positive	7.05362684769664
BA2109	negative	7.30676049708217
BA2242	positive	7.31579076602089
BA2132	negative	7.58879646153396
BA2846	positive	7.2245944685398
BA2521	positive	7.29515347515493
BA2885	positive	7.08598210070988
BA2639	negative	7.68399828509427
BA2775	positive	7.55867055300222
BA2402	negative	7.70330320958059
BA2097	negative	7.65632337592004
BA2399	negative	7.8925772722697
BA2174	negative	7.5032888272442
BA3001	positive	7.58415033094325
BA2911	positive	7.46065818949753
BA2311	negative	7.26669441560471
BA3040	negative	8.50918028997297
BA2724	positive	7.29872623007905
BA2821	negative	7.6160759273921
BA2233	positive	7.39635430321553
BA2744	positive	7.59808663804993
BA2501	negative	7.55410957706454
BA2301	positive	7.22042069105103
BA2880	negative	8.05972702484149
BA2621	negative	7.61484500491846
BA2866	negative	7.95765939482996
BA2212	negative	7.96422079504262
BA2477	positive	7.75510135803604
BA2685	negative	8.24301678047805
BA2273	negative	8.03884116383771
BA2124	positive	7.91426996698012
BA2400	positive	7.57834177713667
BA2762	positive	7.37103549421363
BA2312	negative	7.41702873174962
BA2813	positive	7.62683244469809
BA2211	positive	7.32217874930828
BA2171	positive	7.4827611671997
BA2746	positive	7.26238233832031
BA2798	negative	7.85486380528094
BA2588	positive	7.40017541649469
BA2296	negative	7.4372988989966
BA2300	negative	7.9003747386446
BA2545	negative	7.44443985803447
BA2840	negative	7.27022547665066
BA2528	negative	7.77444024847
BA2646	negative	7.55633666761795
BA2926	negative	7.90191887122195
BA2272	negative	7.67493502317828
BA2306	negative	7.73332620572976
BA2726	positive	7.92526519111295
BA2234	negative	7.33163994376767
BA2022	negative	7.45571345371651
BA2037	negative	7.53197491812839
BA2184	negative	7.44951411714195
BA3009	negative	7.2023131865225
BA2442	negative	8.25974759702626
BA2882	negative	7.29162764738793
BA2570	negative	8.672544374331
BA2721	negative	7.47111652375221
BA2728	negative	7.73462168625585
BA2098	positive	7.31127241928996
BA2951	negative	7.39635430321553
BA2778	positive	7.14303179702319
BA3153	negative	7.56567805381962
BA2820	positive	7.15713373737018
BA2704	positive	7.73595323737682
BA2584	negative	7.25790347094091
BA3079	negative	7.72277870826456
BA2361	negative	8.28311530497155
BA2472	negative	7.37002936753922
BA2047	negative	7.139939970706
BA2101	negative	7.5075244144456
BA2082	negative	7.44741351807287
BA2456	positive	7.89563066633541
BA2175	negative	8.56338303703764
BA2507	negative	7.12040364606583
BA2563	positive	7.27462693268534
BA2984	positive	7.32679901700122
BA2414	negative	7.3370513303313
BA2697	negative	7.02768073602554
BA2644	negative	6.98553956904008
BA2011	negative	7.12964479628402
BA2217	negative	7.08598210070988
BA2454	negative	7.32880266743386
BA2776	positive	7.21224786715344
BA2135	negative	7.75510135803604
BA2914	positive	7.09339132647188
BA2500	negative	7.02052497875875
BA3108	negative	8.81177412986094
BA2303	positive	7.33339060020607
BA2160	positive	7.39829394317713
BA2590	positive	7.48490734822992
BA3195	negative	7.44443985803447
BA3036	negative	7.52776715607633
BA2971	negative	7.31484141146978
BA3410	negative	8.05626383418968
BA3118	negative	7.96577419756633
BA3206	negative	7.53974354156668
BA3217	negative	7.99068122497693
BA3405	negative	7.11288822976142
BA3306	positive	7.63393532286626
BA3413	negative	7.25790347094091
BA3411	negative	7.65022254150033
BA3133	negative	7.90191887122195
BA3451	positive	7.37198491161906
BA3286	negative	7.32401244462143
BA3212	negative	8.35415758657436
BA3103	negative	7.66613976188412
BA3271	positive	7.56679847925559
BA3152	negative	7.71215406681609
BA3095	negative	8.01616932095142
BA3251	negative	7.60641689970034
BA3362	negative	7.17761745050204
BA3135	positive	7.57131151688563
BA3408	negative	7.85205086731265
BA3098	negative	7.38062061343463
BA3435	negative	8.11666073243668
BA3261	negative	7.68399828509427
BA3203	negative	8.61151153389318
BA3299	positive	7.24473994098098
BA3347	positive	7.12664090320603
BA3126	negative	7.49794707202402
BA3418	negative	8.0179995830141
BA3245	negative	7.52196174027097
BA3085	negative	7.6363131099363
BA3171	negative	8.33560901482561
BA3277	positive	7.58415033094325
BA3157	positive	7.6160759273921
BA3433	positive	7.65148276489013
BA3374	negative	7.79093203959201
BA3450	negative	7.75780436658957
BA3167	negative	7.11661408634118
BA3269	positive	7.60280427832536
BA3110	negative	7.35202275514424
BA3156	negative	8.99211218550823
BA3226	positive	7.59694470359064
BA3421	positive	7.27718305881569
BA3232	positive	7.56436701911919
BA3289	negative	7.2456266527422
BA3430	negative	7.4363086679988
BA3384	negative	7.36435791540221
BA3427	negative	7.84127876561754
BA3449	negative	8.43758065182973
BA3163	negative	7.38666974161584
BA3158	negative	8.02142525655183
BA3436	positive	7.30591810989836
BA3154	negative	7.19643196455649
BA3162	positive	7.55633666761795
BA3352	positive	7.42313394469991
BA3084	negative	7.617186143553
BA3149	negative	7.03779348616319
BA3169	positive	8.53990253916599
BA3180	positive	7.76614073791854
BA3255	positive	7.32401244462143
BA3438	negative	8.08701091285537
BA3345	negative	7.56896114376543
BA3431	positive	7.30861526987379
BA3181	negative	7.64002978197542
BA3341	negative	7.5032888272442
BA3191	negative	7.31301236291507
BA3197	positive	7.574849932275
BA3448	negative	7.73200199894925
BA3453	positive	7.53093612416627
BA3406	negative	7.53303259081949
BA3334	negative	7.76200686781066
BA3447	negative	7.56567805381962
BA3116	negative	7.08821062221174
BA3280	positive	7.72672331348077
BA3185	negative	7.41889646736553
BA3094	negative	7.05213628356552
BA3318	negative	8.38100696139026
BA3216	negative	7.44443985803447
BA3332	positive	7.82549928808227
BA3373	negative	7.64377441186557
BA3319	negative	7.39635430321553
BA3328	positive	7.74536502725477
BA3240	negative	8.05626383418968
BA3142	negative	7.63393532286626
BA3333	positive	7.17358455839536
BA3381	negative	7.81969894849543
BA3290	negative	7.73200199894925
BA3207	negative	7.38666974161584
BA3305	negative	7.81686981561798
BA3434	negative	7.66735491479546
BA3189	negative	7.05213628356552
BA3264	negative	7.6112304020112
BA3329	negative	7.54512561180818
BA3225	positive	7.06885426902192
BA3397	negative	7.57003408038875
BA3311	negative	7.25696535562506
BA3422	positive	7.62205873798526
BA3213	negative	7.49672370749375
BA3415	negative	8.51425498508966
BA3270	positive	7.58879646153396
BA3324	negative	7.70961368830257
BA3335	positive	7.61833712147791
BA3199	negative	7.7729524118183
BA3326	negative	7.87732006412967
BA3297	positive	7.32779530563549
BA3227	positive	7.52987979374564
BA3412	negative	7.32401244462143
BA3250	negative	7.35390839708449
BA3177	negative	7.60510330404292
BA3315	negative	9.1410080593907
BA3182	negative	7.34644203598481
BA3369	negative	7.42090370210596
BA3078	negative	7.47416545591404
BA3386	positive	7.46894970580743
BA3176	positive	7.67359575985668
BA3258	positive	7.47830743039593
BA3295	negative	7.37874661141443
BA3136	negative	7.38159192503731
BA3234	positive	7.02480711295981
BA3087	negative	7.44839655086442
BA3454	positive	7.54295367203655
BA3302	negative	7.69160326863138
BA3117	negative	7.4827611671997
BA3266	positive	7.60161963856079
BA3268	negative	8.68962960513866
BA3229	negative	7.54856623986657
BA3353	negative	7.560948520145
BA3312	negative	7.78816074108162
BA3119	positive	7.48163507084779
BA3219	positive	7.09779989974783
BA3351	negative	7.24053779186389
BA3357	negative	7.15078589361001
BA3208	negative	7.25271736240743
BA3310	positive	7.44644074627456
BA3200	positive	7.57131151688563
BA3146	positive	7.49256176412129
BA3211	negative	7.48815372498195
BA3130	negative	7.31848514343172
BA3376	positive	7.13198010911185
BA3137	negative	7.54625616208849
BA3300	negative	7.34929269675225
BA3375	positive	7.52657913903788
BA3385	positive	7.5098325342709
BA3416	negative	7.26851020715081
BA3123	negative	7.03196402344294
