	Sample	Feature	ExpressionGene
0	BA2409	y	0.2002801422064991
1	BA2496	y	0.1783692775590445
2	BA3037	y	0.2617518776043486
3	BA2865	y	0.3781820537351896
4	BA2751	y	0.8071463090211424
5	BA2055	n	0.0589301162250986
6	BA2286	y	0.3573625729541775
7	BA2488	y	0.4807689442551831
8	BA3379	y	0.3148457090256712
9	BA2887	y	0.3361944461565933
10	BA2712	y	0.2277428684882624
11	BA2068	y	0.4141447851298147
12	BA2104	y	0.1869198487063524
13	BA3124	y	0.2526085938039344
14	BA2449	y	0.2952747735876687
15	BA2235	y	0.2933684989286715
16	BA3038	y	0.4797717529151157
17	BA3006	y	0.4441179632734338
18	BA2667	y	0.2439653885157159
19	BA2239	y	0.1773165344831579
20	BA2782	y	0.194310722010821
21	BA2649	y	0.6366780707777169
22	BA2861	y	0.106918279511033
23	BA2134	y	0.1773124117797484
24	BA2909	y	0.1964219455250941
25	BA2653	y	0.304210238283527
26	BA2947	y	0.2272981186082784
27	BA2162	y	0.2075276098890612
28	BA2564	y	0.3000487558800237
29	BA3043	n	0.1222303123648893
30	BA2597	y	0.3399906111151607
31	BA3243	y	0.3565320994115399
32	BA2446	y	0.116030994744769
33	BA2525	y	0.0640943635013068
34	BA2876	y	0.1042099068954033
35	BA2357	y	0.1991905147710996
36	BA2546	y	0.1240671559688523
37	BA2742	y	0.3025082884520792
38	BA2316	y	0.2056545504439652
39	BA2087	y	0.1262338198212069
40	BA2148	y	0.2213584146383362
41	BA3178	y	0.109821525551975
42	BA2072	y	0.3501484859597172
43	BA2733	y	0.1896873445208171
44	BA2995	y	0.8452907347711253
45	BA2069	y	0.1889841436797342
46	BA2681	y	0.1560957359755229
47	BA2832	y	0.3191597094253302
48	BA2600	y	0.3640935596244726
49	BA3230	y	0.2993677379279945
50	BA2731	y	0.0822678721671272
51	BA2294	y	0.3557053911785621
52	BA2816	y	0.3353101795976948
53	BA2814	y	0.1404256277107412
54	BA2631	y	0.3227477782362995
55	BA2023	y	0.2340222673641931
56	BA2375	y	0.8939738305449055
57	BA2485	y	0.5450485108625669
58	BA2455	y	0.0926719200180257
59	BA2636	y	0.3268997601238429
60	BA2325	y	0.1303379514061994
61	BA2156	y	0.1665121141157881
62	BA2511	y	0.1145245322603514
63	BA2505	y	0.2094139462086697
64	BA2871	y	0.170088311266681
65	BA2227	y	0.683119927528023
66	BA2812	y	0.1636321052310726
67	BA2125	y	0.3106537800341222
68	BA2603	y	0.3272220012648815
69	BA2808	y	0.3474576813245529
70	BA2482	y	0.5853367159024542
71	BA2594	y	0.1497056780886039
72	BA2747	y	0.4742826334446685
73	BA2561	y	0.4547598816780865
74	BA2567	y	0.0471607532425318
75	BA2906	y	0.1863712182221971
76	BA2956	y	0.1737723118793595
77	BA2474	y	0.2993789260071053
78	BA2737	y	0.3051122360343138
79	BA2006	n	0.0434516639435853
80	BA2110	y	0.1412447000291279
81	BA2915	n	0.0218014132414214
82	BA2992	y	0.571223400311484
83	BA2220	y	0.2055369775121894
84	BA2063	y	0.0920561794793435
85	BA2772	y	0.2248489260951291
86	BA2935	y	0.2287418252851064
87	BA2260	y	0.3086467051717796
88	BA2948	y	0.1754806126930556
89	BA3296	y	0.1785196250337341
90	BA2524	y	0.3316526158399516
91	BA2811	y	0.6528701339657501
92	BA2540	y	0.1007360871003794
93	BA2928	y	0.1677164032455859
94	BA2302	y	0.2845922240557846
95	BA2651	y	0.1664388121516779
96	BA2619	y	0.2124341005088592
97	BA3013	y	0.3261590134175917
98	BA2405	y	0.3199243679362045
99	BA2856	y	0.1331356976459998
100	BA2377	y	0.809008592228186
101	BA2499	y	0.3608387211811307
102	BA2350	n	0.0794989986228869
103	BA3023	y	0.3120788536500498
104	BA2095	y	0.5760620116676848
105	BA2275	y	0.5899890040908593
106	BA2901	y	0.1850517608980293
107	BA2387	y	0.4697411325404799
108	BA2962	y	0.3745486800855535
109	BA2195	y	0.3198556517342838
110	BA2688	y	0.1010376832524803
111	BA2420	y	0.4980493811600571
112	BA2053	y	0.3085386934826425
113	BA2081	y	0.5058095747966009
114	BA2354	y	0.2584898433297769
115	BA3273	y	0.0560587391122591
116	BA2893	y	0.603367933771291
117	BA2044	y	0.4545446668656925
118	BA2489	y	0.1428096536050674
119	BA2908	y	0.3362728008393634
120	BA2054	y	0.2938030708808976
121	BA2872	y	0.1706664186677523
122	BA2041	y	0.2588665449447568
123	BA2464	y	0.4145564919398896
124	BA2902	y	0.4305832717631047
125	BA2541	y	0.1408974760836314
126	BA2843	y	0.0009554517760357
127	BA2497	y	0.1879824611145878
128	BA2718	y	0.2264120593094975
129	BA2575	y	0.1530648906147879
130	BA2593	y	0.0586617116890534
131	BA2791	y	0.4767886715929873
132	BA2620	y	0.2664975209367325
133	BA2629	y	0.3504910996646456
134	BA2870	y	0.5069095606352807
135	BA2682	y	0.2847513258925345
136	BA2276	y	0.2550864966643531
137	BA2709	y	0.2309063298062662
138	BA2789	y	0.591763462756144
139	BA2538	y	0.4240097802137525
140	BA2583	y	0.6912775488681344
141	BA2806	y	0.6373509732992193
142	BA2441	y	0.3859472321425475
143	BA2514	y	0.210449138711381
144	BA2520	y	0.2933916238066273
145	BA2479	y	0.0876788581211672
146	BA2281	y	0.4929589762080263
147	BA2932	y	0.4272977550754492
148	BA2123	y	0.3247570771477333
149	BA2844	y	0.1004672344075486
150	BA2660	y	0.2573804486883075
151	BA2836	y	0.2379198113207616
152	BA2714	y	0.4087606478982316
153	BA2440	y	0.2436715897263885
154	BA2036	y	0.8388414173535819
155	BA2828	y	0.2819806751023824
156	BA2952	y	0.3159037247979155
157	BA2410	y	0.642834333785354
158	BA2139	y	0.1190683935976216
159	BA2051	y	0.3938825853566675
160	BA2532	y	0.2354003859086909
161	BA2494	y	0.2999725410280351
162	BA2748	y	0.1634354112640224
163	BA2622	y	0.5211049111147632
164	BA2970	y	0.1431593851330471
165	BA2839	y	0.6880338863870606
166	BA2868	y	0.1482073138054148
167	BA3011	y	0.2126042244190821
168	BA2052	y	0.3736513203619646
169	BA2510	y	0.0203342702977387
170	BA2691	y	0.3457070269471681
171	BA2374	y	0.2763952595404794
172	BA2804	y	0.139407727396832
173	BA2675	y	0.393738690939336
174	BA2031	y	0.2926282036740446
175	BA2198	y	0.6672047141790376
176	BA2066	y	0.4636862910150136
177	BA2344	y	0.2438605199065537
178	BA2459	y	0.2749501276757286
179	BA2229	y	0.4056640287149609
180	BA2559	y	0.3518012511866175
181	BA2093	y	0.7187506601942814
182	BA2000	y	0.3158646553683877
183	BA2425	y	0.3507812970068016
184	BA2905	y	0.2835814840385837
185	BA2304	y	0.0979748767280979
186	BA2976	y	0.3104939002311873
187	BA2386	y	0.7200270107145469
188	BA2035	y	0.5157778625167798
189	BA2760	y	0.2318542233851574
190	BA2201	y	0.1959922000558477
191	BA2355	y	0.3663460851955715
192	BA2113	y	0.4636009687036643
193	BA2955	y	0.201015698103048
194	BA2322	y	0.6991153640871128
195	BA2020	y	0.4234286826082905
196	BA2226	y	0.7427213369908078
197	BA2376	y	0.1810705720249024
198	BA2889	n	0.0032607530191513
199	BA2121	y	0.4045254318806516
200	BA2944	y	0.6073825472504101
201	BA2033	y	0.2493802875679197
202	BA2867	y	0.4711109068286485
203	BA2089	y	0.3022986007009235
204	BA2224	y	0.292817153389424
205	BA2046	y	0.5157814038241734
206	BA2972	y	0.2478497605073347
207	BA2978	y	0.260346391573401
208	BA2851	y	0.4227151357950647
209	BA2587	y	0.743689427436652
210	BA2024	y	0.355324854052362
211	BA2426	y	0.3259230855422613
212	BA2271	y	0.6406549134468797
213	BA3004	y	0.7435197491797316
214	BA3010	y	0.316961809524329
215	BA2662	y	0.254162715510198
216	BA2658	y	0.1323432279927941
217	BA2512	y	0.3620629952148811
218	BA2109	y	0.1611528749668292
219	BA2242	y	0.7518530096416304
220	BA2132	y	0.4028966828390375
221	BA2846	y	0.6138999934750695
222	BA2521	y	0.6694791447565787
223	BA2885	y	0.299849769692369
224	BA2639	y	0.6987008341132465
225	BA2775	y	0.478373757838183
226	BA2402	y	0.428971316748376
227	BA2097	y	0.5803880630099275
228	BA2399	y	0.5539786331310428
229	BA2174	y	0.3644123896008013
230	BA3001	y	0.5107964579461929
231	BA2911	y	0.432461270425124
232	BA2311	y	0.1134252444489589
233	BA3040	y	0.250690301209829
234	BA2724	y	0.1486408135343405
235	BA2821	y	0.6334937133920333
236	BA2233	y	0.5315421413584168
237	BA2744	y	0.1577588875420493
238	BA2501	y	0.5796172546422546
239	BA2301	y	0.204491862129929
240	BA2880	y	0.1470865539668648
241	BA2621	y	0.2111757237127263
242	BA2866	y	0.3976880606962743
243	BA2212	y	0.2594329568361865
244	BA2477	y	0.5055873220543777
245	BA2685	y	0.2648671293645711
246	BA2273	y	0.3332695562783719
247	BA2124	y	0.547448699385894
248	BA2400	y	0.6441740758930947
249	BA2762	y	0.4421250179694788
250	BA2312	y	0.2645746766899385
251	BA2813	y	0.5101650932078571
252	BA2211	y	0.8197705252423492
253	BA2171	y	0.6888123828281181
254	BA2746	y	0.202555877357812
255	BA2798	y	0.5461655847380165
256	BA2588	y	0.3521388625898267
257	BA2296	y	0.2148106637106862
258	BA2300	y	0.3860761946544425
259	BA2545	y	0.2141247465641089
260	BA2840	y	0.3417398377554638
261	BA2528	y	0.5746468103555873
262	BA2646	y	0.5537548395255599
263	BA3067	n	0.9417137704908728
264	BA2926	y	0.2264094324360189
265	BA2272	y	0.2135859516736474
266	BA2306	y	0.3022602526166719
267	BA2726	y	0.1489933819202283
268	BA2234	y	0.1814084487686583
269	BA2022	y	0.5851342050113773
270	BA2037	y	0.4592527844731488
271	BA2184	y	0.3727416907983689
272	BA3009	y	0.3910410980820776
273	BA2442	y	0.4327592238494117
274	BA2882	y	0.1467127098966962
275	BA2347	n	0.1395398032978155
276	BA2570	y	0.2334481743272767
277	BA2721	y	0.7256291013940612
278	BA2728	y	0.3130353858877515
279	BA2098	y	0.190269033493088
280	BA2951	y	0.485869735054191
281	BA2778	y	0.3422344058267053
282	BA3153	y	0.1392744072064952
