	Sample	Feature	ExpressionGene
0	BA2409	Bone Marrow Aspirate	6.75831323775631
1	BA2496	Bone Marrow Aspirate	7.0949820634578
2	BA3037	Bone Marrow Aspirate	7.64377441186557
3	BA2865	Bone Marrow Aspirate	8.40664550150058
4	BA2751	Leukapheresis	9.45155824142257
5	BA2286	Bone Marrow Aspirate	7.82833379039141
6	BA2488	Bone Marrow Aspirate	8.48407580140491
7	BA3379	Bone Marrow Aspirate	7.11145591609312
8	BA2887	Bone Marrow Aspirate	7.53303259081949
9	BA2712	Peripheral Blood	7.50436087643108
10	BA2068	Bone Marrow Aspirate	8.0179995830141
11	BA2104	Peripheral Blood	7.2245944685398
12	BA3124	Bone Marrow Aspirate	7.10925539195399
13	BA2449	Bone Marrow Aspirate	7.18474506245045
14	BA2235	Bone Marrow Aspirate	7.56436701911919
15	BA3038	Bone Marrow Aspirate	7.39635430321553
16	BA3006	Peripheral Blood	8.75098362594822
17	BA2667	Bone Marrow Aspirate	7.40804987020109
18	BA2239	Bone Marrow Aspirate	7.09710413510838
19	BA2782	Bone Marrow Aspirate	6.67339810625054
20	BA2649	Bone Marrow Aspirate	8.91751782379931
21	BA2861	Bone Marrow Aspirate	6.18992574647122
22	BA2134	Peripheral Blood	7.06371663624663
23	BA2909	Bone Marrow Aspirate	6.91854859965898
24	BA2653	Peripheral Blood	7.68013043810275
25	BA2947	Peripheral Blood	7.78123623973778
26	BA2162	Peripheral Blood	6.37358566074055
27	BA2564	Peripheral Blood	7.79663560293131
28	BA2597	Peripheral Blood	7.63393532286626
29	BA3243	Bone Marrow Aspirate	7.40609048790591
30	BA2446	Bone Marrow Aspirate	6.23342882640082
31	BA2525	Peripheral Blood	5.30060514576655
32	BA2876	Peripheral Blood	6.16229657509821
33	BA2357	Bone Marrow Aspirate	7.01847365520979
34	BA2546	Bone Marrow Aspirate	6.36695225743452
35	BA2742	Leukapheresis	7.41889646736553
36	BA2316	Bone Marrow Aspirate	7.48163507084779
37	BA2087	Peripheral Blood	6.85707363149716
38	BA2148	Peripheral Blood	7.50861653894833
39	BA3178	Peripheral Blood	6.42280633283907
40	BA2072	Bone Marrow Aspirate	8.00619097456886
41	BA2733	Peripheral Blood	7.3212161814573
42	BA2995	Bone Marrow Aspirate	9.09230819306279
43	BA2069	Bone Marrow Aspirate	6.86281064555051
44	BA2681	Bone Marrow Aspirate	6.81883552060849
45	BA2832	Peripheral Blood	7.55189787670547
46	BA2600	Peripheral Blood	7.53197491812839
47	BA3230	Peripheral Blood	7.56567805381962
48	BA2731	Peripheral Blood	6.17379906817959
49	BA2294	Bone Marrow Aspirate	7.62205873798526
50	BA2816	Bone Marrow Aspirate	7.64636707538027
51	BA2814	Peripheral Blood	6.62033484572762
52	BA2631	Bone Marrow Aspirate	7.78123623973778
53	BA2023	Bone Marrow Aspirate	7.36910502551481
54	BA2375	Peripheral Blood	7.95452812467512
55	BA2485	Bone Marrow Aspirate	9.12011695971816
56	BA2455	Peripheral Blood	6.33092888167036
57	BA2636	Peripheral Blood	7.60876718089275
58	BA2325	Peripheral Blood	6.69807753006718
59	BA2156	Bone Marrow Aspirate	6.54978276410253
60	BA2511	Peripheral Blood	6.52072194410879
61	BA2505	Peripheral Blood	6.93954050250455
62	BA2871	Peripheral Blood	6.24864350807345
63	BA2227	Bone Marrow Aspirate	8.08518191159815
64	BA2812	Peripheral Blood	6.79581543973709
65	BA2125	Bone Marrow Aspirate	7.67493502317828
66	BA2603	Bone Marrow Aspirate	7.52776715607633
67	BA2808	Peripheral Blood	7.8894951557827
68	BA2482	Bone Marrow Aspirate	8.42559982560594
69	BA2594	Bone Marrow Aspirate	6.62843695703125
70	BA2747	Peripheral Blood	8.62242404966029
71	BA2561	Bone Marrow Aspirate	8.58191208164573
72	BA2567	Peripheral Blood	5.31326361994662
73	BA2906	Peripheral Blood	6.70639038824238
74	BA2956	Peripheral Blood	7.57003408038875
75	BA2474	Bone Marrow Aspirate	7.94466831928416
76	BA2737	Peripheral Blood	7.52879493976561
77	BA2110	Bone Marrow Aspirate	6.84719227215285
78	BA2992	Bone Marrow Aspirate	8.06884590575294
79	BA2220	Bone Marrow Aspirate	7.60876718089275
80	BA2063	Peripheral Blood	5.38841032189554
81	BA2772	Peripheral Blood	8.03550248502968
82	BA2935	Peripheral Blood	7.26238233832031
83	BA2260	Peripheral Blood	7.81686981561798
84	BA2948	Peripheral Blood	6.31251579014812
85	BA3296	Bone Marrow Aspirate	6.1842076331656
86	BA2524	Peripheral Blood	7.6685963483501
87	BA2811	Bone Marrow Aspirate	9.0307417478067
88	BA2540	Bone Marrow Aspirate	6.20872841683922
89	BA2928	Peripheral Blood	6.74268846032395
90	BA2302	Peripheral Blood	7.28800386009291
91	BA2651	Bone Marrow Aspirate	7.59930957213068
92	BA2619	Peripheral Blood	7.5098325342709
93	BA3013	Bone Marrow Aspirate	7.94466831928416
94	BA2405	Peripheral Blood	7.79800939146032
95	BA2856	Peripheral Blood	6.69192414230504
96	BA2377	Bone Marrow Aspirate	7.60044547310861
97	BA2499	Peripheral Blood	7.80094268898657
98	BA3023	Peripheral Blood	8.07789379739417
99	BA2095	Peripheral Blood	8.85577669200061
100	BA2275	Bone Marrow Aspirate	7.80817251236376
101	BA2901	Bone Marrow Aspirate	7.34547705030654
102	BA2387	Bone Marrow Aspirate	8.43037965011906
103	BA2962	Bone Marrow Aspirate	8.00271116464237
104	BA2195	Peripheral Blood	7.53093612416627
105	BA2688	Peripheral Blood	6.27332825884915
106	BA2420	Bone Marrow Aspirate	8.79635277497105
107	BA2053	Peripheral Blood	8.23886821722062
108	BA2081	Bone Marrow Aspirate	8.83048212173684
109	BA2354	Bone Marrow Aspirate	6.98553956904008
110	BA3273	Peripheral Blood	4.90986474335253
111	BA2893	Bone Marrow Aspirate	8.69824500910271
112	BA2044	Bone Marrow Aspirate	8.37180321609369
113	BA2489	Bone Marrow Aspirate	7.10534081557561
114	BA2908	Bone Marrow Aspirate	7.69790613813162
115	BA2054	Bone Marrow Aspirate	7.42090370210596
116	BA2872	Bone Marrow Aspirate	6.4108151402329
117	BA2041	Bone Marrow Aspirate	7.68775219309565
118	BA2464	Bone Marrow Aspirate	8.04060780611373
119	BA2902	Bone Marrow Aspirate	8.36494157515656
120	BA2541	Bone Marrow Aspirate	6.79640967556144
121	BA2843	Bone Marrow Aspirate	1.29229534870093
122	BA2497	Bone Marrow Aspirate	7.35957852119331
123	BA2718	Bone Marrow Aspirate	6.84657434431718
124	BA2575	Bone Marrow Aspirate	7.07486831392374
125	BA2593	Leukapheresis	8.74389874448259
126	BA2791	Bone Marrow Aspirate	8.54249270039127
127	BA2620	Bone Marrow Aspirate	7.11216085325929
128	BA2629	Bone Marrow Aspirate	8.3156761580726
129	BA2870	Bone Marrow Aspirate	8.28526081080175
130	BA2682	Peripheral Blood	7.75780436658957
131	BA2276	Bone Marrow Aspirate	7.56321071069528
132	BA2709	Bone Marrow Aspirate	7.54085820588458
133	BA2789	Bone Marrow Aspirate	8.67821802831458
134	BA2538	Peripheral Blood	7.89563066633541
135	BA2583	Bone Marrow Aspirate	8.80867768640892
136	BA2806	Peripheral Blood	8.94761722776196
137	BA2441	Peripheral Blood	6.73745939965324
138	BA2514	Bone Marrow Aspirate	7.03986452617139
139	BA2520	Peripheral Blood	8.3311533449718
140	BA2479	Peripheral Blood	5.70908891657494
141	BA2281	Bone Marrow Aspirate	8.68391306436784
142	BA2932	Bone Marrow Aspirate	8.3156761580726
143	BA2123	Bone Marrow Aspirate	8.0760787079227
144	BA2844	Bone Marrow Aspirate	6.30418081628279
145	BA2660	Bone Marrow Aspirate	7.95104961478815
146	BA2836	Peripheral Blood	7.61949698331246
147	BA2714	Peripheral Blood	7.93658206656699
148	BA2440	Bone Marrow Aspirate	7.04775148018528
149	BA2036	Peripheral Blood	9.25517667754352
150	BA2828	Peripheral Blood	7.22543117773692
151	BA2952	Bone Marrow Aspirate	7.40406179513594
152	BA2410	Bone Marrow Aspirate	8.52190108216259
153	BA2139	Peripheral Blood	6.4489544024993
154	BA2051	Bone Marrow Aspirate	7.1956195388029
155	BA2532	Bone Marrow Aspirate	7.01060112681321
156	BA2494	Peripheral Blood	7.25790347094091
157	BA2748	Bone Marrow Aspirate	6.5808607051832
158	BA2622	Bone Marrow Aspirate	8.03722226484621
159	BA2970	Bone Marrow Aspirate	6.1821095995856
160	BA2839	Bone Marrow Aspirate	8.91090509269608
161	BA2868	Peripheral Blood	6.46333894051768
162	BA3011	Bone Marrow Aspirate	7.42313394469991
163	BA2052	Bone Marrow Aspirate	7.98386019261508
164	BA2510	Peripheral Blood	4.1972207613263
165	BA2691	Peripheral Blood	7.49358396361658
166	BA2374	Bone Marrow Aspirate	7.02480711295981
167	BA2804	Bone Marrow Aspirate	6.75251712721233
168	BA2675	Peripheral Blood	8.07426638068647
169	BA2031	Bone Marrow Aspirate	7.6112304020112
170	BA2198	Bone Marrow Aspirate	8.99211218550823
171	BA2066	Bone Marrow Aspirate	7.23036606098158
172	BA2344	Peripheral Blood	7.53734841909383
173	BA2459	Bone Marrow Aspirate	8.28924318234402
174	BA2229	Peripheral Blood	7.33073792117204
