	Sample	Feature	ExpressionGene
0	BA2409	negative	8.41135949860071
1	BA2496	positive	8.84307877151568
2	BA3037	positive	8.23061160269424
3	BA2865	negative	9.22287720595147
4	BA2751	positive	9.50293364970638
5	BA2286	negative	8.92083445647999
6	BA2488	negative	8.90103696609653
7	BA3379	positive	9.46372381175102
8	BA2887	negative	9.13342062895717
9	BA2712	negative	9.39118419839355
10	BA2068	negative	10.6289390647318
11	BA2104	negative	7.64511152399424
12	BA3124	negative	9.38234175781362
13	BA2449	negative	8.60608533344799
14	BA2235	negative	8.93082572022568
15	BA3038	negative	8.60879594020241
16	BA3006	positive	9.64008823387741
17	BA2667	negative	8.95438322249582
18	BA2239	negative	8.66407371953991
19	BA2782	negative	8.89122942781574
20	BA2649	positive	9.61438474364243
21	BA2861	negative	9.17948259034573
22	BA2134	negative	8.46430959418229
23	BA2909	negative	8.79205235357759
24	BA2653	negative	9.26099325755712
25	BA2947	negative	9.415200229547
26	BA2162	negative	9.18338030789918
27	BA2564	negative	8.9076089453561
28	BA2597	negative	9.50768698561149
29	BA3243	positive	9.04501990946176
30	BA2446	negative	9.47302564786274
31	BA2525	positive	9.18338030789918
32	BA2876	negative	9.19120372633416
33	BA2357	negative	9.26745559419095
34	BA2546	negative	8.86536741111737
35	BA2742	positive	8.66689198102969
36	BA2316	positive	8.95099667095566
37	BA2087	negative	8.81980741439546
38	BA2148	negative	8.72438748273975
39	BA3178	negative	8.87501645157825
40	BA2072	negative	9.13342062895717
41	BA2733	negative	9.22687989289351
42	BA2995	negative	9.52517542791568
43	BA2069	positive	9.47769688223901
44	BA2681	negative	9.19512951707567
45	BA2832	negative	9.60422004710875
46	BA2600	positive	9.04860912314158
47	BA3230	positive	9.08494318011795
48	BA2731	negative	8.78108213178214
49	BA2294	negative	9.60929418124753
50	BA2816	negative	9.36916799017741
51	BA2814	negative	9.10713869224013
52	BA2631	negative	9.26745559419095
53	BA2023	negative	9.01306871894599
54	BA2375	negative	9.27156918109996
55	BA2485	positive	9.67842749251503
56	BA2455	negative	8.8589671548512
57	BA2636	negative	9.04860912314158
58	BA2325	negative	8.45209623715645
59	BA2156	negative	9.38675693832204
60	BA2511	negative	9.36916799017741
61	BA2505	negative	9.39118419839355
62	BA2871	negative	8.99211218550823
63	BA2227	negative	9.59916222255831
64	BA2812	negative	9.70356008854553
65	BA2125	negative	9.41800548205558
66	BA2603	negative	9.12586826213153
67	BA2808	positive	9.17948259034573
68	BA2482	negative	8.91090509269608
69	BA2594	negative	9.22287720595147
70	BA2747	negative	9.47769688223901
71	BA2561	negative	9.93012293296997
72	BA2567	negative	10.0007468429699
73	BA2906	negative	9.91143332054624
74	BA2956	negative	9.90525526471174
75	BA2474	negative	9.00955709168753
76	BA2737	negative	9.80971908397822
77	BA2110	positive	8.73025810259064
78	BA2992	negative	9.14481502348153
79	BA2220	negative	9.40901547409309
80	BA2063	negative	9.26745559419095
81	BA2772	negative	8.71853926395486
82	BA2935	positive	9.17171491689544
83	BA2260	negative	9.12964008242639
84	BA2948	negative	8.6697155276332
85	BA3296	negative	8.8879736022598
86	BA2524	negative	8.98864564355709
87	BA2811	positive	9.24704173883127
88	BA2540	negative	9.04501990946176
89	BA2928	negative	9.36916799017741
90	BA2302	negative	9.39562360946183
91	BA2651	negative	8.92748837970555
92	BA2619	negative	8.7332018546727
93	BA3013	positive	9.50601427714714
94	BA2405	positive	8.70980864868103
