	Sample	Feature	ExpressionGene
0	BA2409	1	0.0413673173192399
1	BA2496	1	1.6927929149864454
2	BA3037	1	0.0170153628453705
3	BA2865	1	0.0147386294936258
4	BA2751	1	0.6863883262462225
5	BA2055	1	0.0136431427493605
6	BA2286	1	1.0188408754851623
7	BA2488	1	1.0250380333795832
8	BA3379	1	3.0308142697456755
9	BA2887	1	0.013735568432972
10	BA2712	2	0.0091284590009099
11	BA2068	2	0.0222447648148385
12	BA2104	1	1.0276347788046305
13	BA3124	1	1.015994728258215
14	BA2449	1	0.0114423154393732
15	BA2235	1	0.0280520644309241
16	BA3038	1	1.722983074243697
17	BA3006	3	0.0138164804268064
18	BA2667	1	1.021605504734603
19	BA2239	1	2.7018356141241413
20	BA2782	3	0.0712101952379273
21	BA2649	1	0.0142763429928711
22	BA2861	1	0.0172921919952297
23	BA2134	1	0.0211030652287675
24	BA2909	1	0.025918211490304
25	BA2653	1	0.0199704553977837
26	BA2947	1	0.0241925544208906
27	BA2162	1	0.0267144476888283
28	BA2564	1	1.0348337857923595
29	BA3043	1	3.0368867267391457
30	BA2597	4	0.0113973145649124
31	BA3243	2	0.7006336059891
32	BA2446	1	0.0324025002570161
33	BA2525	4	0.0122690089042186
34	BA2876	4	0.0241572492851895
35	BA2357	2	0.6735815727004671
36	BA2546	1	0.0184211659241785
37	BA2742	1	0.7067797031723351
38	BA2316	1	0.692205321601068
39	BA2087	2	0.0104247107705799
40	BA2148	2	0.0131072160588413
41	BA3178	3	0.0092105829620892
42	BA2072	1	1.6946341832017218
43	BA2733	2	0.0080013030229785
44	BA2995	2	0.0105609253613072
45	BA2069	1	0.0263774680726963
46	BA2681	3	0.681949100638554
47	BA2832	2	0.6924139644142149
48	BA2600	4	0.0236590516650613
49	BA3230	1	1.3623464878688127
50	BA2731	2	1.0281804012339093
51	BA2294	4	1.020893816431948
52	BA2816	4	1.0183834368537876
53	BA2814	3	0.0187161745842122
54	BA2631	1	0.6914948452657579
55	BA2023	1	0.0170835491820827
56	BA2375	1	0.0258713926648258
57	BA2485	1	3.024996062423485
58	BA2455	4	0.689652971066809
59	BA2636	4	0.6956396681970652
60	BA2325	1	0.0277996327106613
61	BA2156	1	0.0131053981078238
62	BA2511	4	0.0092543718692051
63	BA2505	4	3.6839600706292415
64	BA2871	3	0.028261919211416
65	BA2227	1	0.0423362852115375
66	BA2812	3	0.6927521559976918
67	BA2125	1	0.0242831621534847
68	BA2603	1	1.0288483006294484
69	BA2808	4	0.0122677969368737
70	BA2482	1	0.6941761385866743
71	BA2594	1	0.0191772491176219
72	BA2747	4	0.6838305218589112
73	BA2561	3	0.6848372188216
74	BA2567	3	4.6892320495384805
75	BA2906	1	0.0217721765916516
76	BA2956	2	0.0068686931919947
77	BA2474	1	0.0210580643543067
78	BA2737	2	0.0066600503788478
79	BA2006	2	0.059511206192584
80	BA2110	1	0.0341263393754121
81	BA2915	4	0.0017585382704245
82	BA2992	4	0.0178049332234974
83	BA2220	1	0.011095034100809
84	BA2063	2	0.0184211659241785
85	BA2772	2	0.0095536224149461
86	BA2935	4	0.6885246031215325
87	BA2260	3	0.0228184205757487
88	BA2948	3	0.0198974211916916
89	BA3296	1	2.746373332629338
90	BA2524	4	0.0174618937706406
91	BA2811	1	0.00711930696124
92	BA2540	4	0.0122750687409435
93	BA2928	1	0.0105938065623183
94	BA2302	4	1.6719903122707638
95	BA2651	4	0.0078328132149125
96	BA2619	1	0.6760864984255753
97	BA3013	4	0.0114764086077293
98	BA2405	3	0.005528652515209
99	BA2856	3	0.0104331945419946
100	BA2377	2	0.7127730661229886
101	BA2499	2	0.008000697039306
102	BA2350	2	0.6833030789398068
103	BA3023	4	0.6813657491388839
104	BA2095	1	0.0092130068967792
105	BA2275	1	0.0578541833608581
106	BA2901	2	0.677094407355609
107	BA2387	1	0.0148225714058225
108	BA2962	1	0.0114326197006135
109	BA2195	4	0.014786660286449
110	BA2688	2	0.0066582324278303
111	BA2420	1	0.0136485966024129
112	BA2053	2	0.0113924666955325
113	BA2081	1	0.0185482907598186
114	BA2354	1	0.0301445523991183
115	BA3273	2	0.6779338264775765
116	BA2893	3	0.6868518247143222
117	BA2044	1	0.6883536893787766
118	BA2489	2	0.0081685808636995
119	BA2908	1	0.0152416749831338
120	BA2054	3	0.7002498075474897
121	BA2872	1	0.0249978803745021
122	BA2041	2	0.0123535568000879
123	BA2464	1	0.6853834472345514
124	BA2902	4	0.6891115905232373
125	BA2541	1	0.692161532693952
126	BA2843	4	0.0037719321958018
127	BA2497	1	1.3623069408474044
128	BA2718	1	0.0191766431339494
129	BA2575	1	0.6942576565641811
130	BA2593	3	0.0064867127014019
131	BA2791	2	1.0197204476122108
132	BA2620	1	6.0250398513306
133	BA2629	1	0.0157806315920155
134	BA2870	1	1.6816553039458653
135	BA2682	4	2.02101912331657
136	BA2276	2	0.0215629277948322
137	BA2709	2	0.017502652759394
138	BA2789	1	5.360926747165538
139	BA2538	2	0.00996848410655
140	BA2583	5	0.6797331237367547
141	BA2806	2	4.009004970067305
142	BA2441	1	0.0480219138450354
143	BA2514	2	0.0080432739790769
144	BA2520	5	0.0069082402134032
145	BA2479	5	0.6739532514686277
146	BA2281	1	0.6760877103929204
147	BA2932	1	0.6839600706292415
148	BA2123	2	0.0098845421943532
149	BA2844	2	0.0111862478170755
150	BA2660	1	0.0100493961003844
151	BA2836	2	1.6816996988366535
152	BA2714	1	1.3581627238997696
153	BA2440	5	0.0080414560280594
154	BA2036	3	4.373150755195296
155	BA2828	1	2.6859278576964853
156	BA2952	1	2.689027042627368
157	BA2410	2	4.370057630101138
158	BA2139	3	0.6961013487141474
159	BA2051	5	1.026975363180506
160	BA2532	2	0.0138699650726819
161	BA2494	5	0.0128572082732684
162	BA2748	1	1.019135884145196
163	BA2622	1	3.030274707153121
164	BA2970	2	0.6846370597798677
165	BA2839	2	1.3594230645500656
166	BA2868	3	2.350416882515416
167	BA3011	1	3.01884754130556
168	BA2052	2	0.6709428563193215
169	BA2510	5	0.0113480718047442
170	BA2691	1	4.026547169848107
171	BA2374	1	0.0311494314107895
