	Sample	Feature	ExpressionGene
0	BA2409	negative	2.42527027407431
1	BA2496	negative	-1.85443649196731
2	BA3037	positive	5.89603275873882
3	BA2865	positive	5.13442321095142
4	BA2751	negative	0.230814197880978
5	BA2286	negative	2.85220606273854
6	BA2488	negative	6.0908744011171
7	BA3379	negative	4.06768255183074
8	BA2887	negative	5.11638292117158
9	BA2712	negative	-4.21691190609306
10	BA2068	positive	5.2868395453686
11	BA2104	positive	-2.90198965929373
12	BA3124	negative	3.08537081267169
13	BA2449	negative	1.62272533517422
14	BA2235	positive	4.54878748959104
15	BA3038	negative	3.84606667062873
16	BA3006	positive	4.0102959705863
17	BA2667	negative	3.12161168962479
18	BA2239	positive	2.07076624330663
19	BA2782	positive	2.60775035053937
20	BA2649	negative	5.96386071356046
21	BA2861	negative	2.47226396684629
22	BA2134	negative	-1.26036729993896
23	BA2909	negative	2.23163840559511
24	BA2653	negative	4.87551304793432
25	BA2947	negative	3.46604952680908
26	BA2162	negative	-3.00488579996363
27	BA2564	negative	3.55179272966768
28	BA2597	negative	6.14759404853347
29	BA3243	negative	3.87740393249645
30	BA2446	negative	1.23682676475754
31	BA2525	positive	-2.45561174580429
32	BA2876	negative	-1.03653723642118
33	BA2357	negative	1.53598005102551
34	BA2546	negative	-1.30656643508874
35	BA2742	negative	0.69745683162882
36	BA2316	negative	0.899094483682124
37	BA2087	negative	-2.74343030506397
38	BA2148	negative	6.9848366218031
39	BA3178	negative	-3.69977436376083
40	BA2072	negative	3.92905779716509
41	BA2733	negative	4.79905769578442
42	BA2995	negative	-1.33761435343488
43	BA2069	positive	-5.52091327378807
44	BA2681	negative	-2.3713037003904
45	BA2832	negative	4.42301685254278
46	BA2600	negative	3.30695131155452
47	BA3230	negative	-1.21505154279673
48	BA2731	negative	-0.387302959250216
49	BA2294	negative	4.4462798870641
50	BA2816	negative	1.00727712946517
51	BA2814	negative	-2.47214238978326
52	BA2631	positive	3.92905779716509
53	BA2023	negative	-4.79464204484053
54	BA2375	negative	3.92287499831834
55	BA2485	positive	5.7175568767915
56	BA2455	positive	-2.78034077718535
57	BA2636	negative	-3.29429542282984
58	BA2325	positive	0.896118049614534
59	BA2156	negative	3.04704895342493
60	BA2511	negative	3.55468554456962
61	BA2505	negative	3.83524914634314
62	BA2871	negative	-0.399277296625941
63	BA2227	negative	5.05720665133944
64	BA2812	negative	-1.50022208785386
65	BA2125	negative	4.20135659440007
66	BA2603	positive	4.06201254185105
67	BA2808	negative	4.89343215555138
68	BA2482	negative	4.36127695713154
69	BA2594	negative	0.507602595468108
70	BA2747	negative	5.04409921416931
71	BA2561	negative	-5.29146950758079
72	BA2567	negative	-3.85126035696575
73	BA2906	negative	1.60231574737047
74	BA2956	negative	4.14366264706437
75	BA2474	positive	4.47099076274074
76	BA2737	negative	-4.30318114320644
77	BA2110	positive	2.0116554134637
78	BA2992	negative	4.61150443110127
79	BA2220	negative	4.86534712878217
80	BA2063	negative	-0.311019673586418
81	BA2772	positive	4.92736106288858
82	BA2935	negative	3.66845105159953
83	BA2260	negative	3.58742662131399
84	BA2948	negative	2.96409346879
85	BA3296	negative	-3.33738366633407
86	BA2524	negative	5.84150393894181
87	BA2811	negative	5.683055970914
88	BA2540	negative	-3.54072073336428
89	BA2928	negative	-4.04278359661597
90	BA2302	negative	3.76902108983222
91	BA2651	negative	4.95506412387923
92	BA2619	negative	4.58691244592694
93	BA3013	negative	4.09676624641316
94	BA2405	negative	2.7380162918585
95	BA2856	positive	4.14600944932061
96	BA2377	positive	-3.73132773416127
97	BA2499	negative	3.56956667884493
98	BA3023	positive	5.08080248801388
99	BA2095	negative	5.66319728629148
100	BA2275	negative	2.95951917174378
101	BA2901	positive	1.87236961151542
102	BA2387	negative	5.85107379352105
103	BA2962	negative	2.81275421711373
104	BA2195	negative	4.70980361858599
105	BA2688	negative	4.16358431723126
106	BA2420	negative	3.94179623964938
107	BA2053	negative	5.6154952630376
108	BA2081	negative	3.53338878205588
109	BA2354	negative	1.42234206716286
110	BA3273	negative	0.919835106636856
111	BA2893	positive	4.73904359343724
112	BA2044	negative	3.57238938006016
113	BA2489	negative	-1.97374829109098
114	BA2908	negative	3.715145145311
115	BA2054	positive	2.44926156327769
116	BA2872	negative	-3.36366404396703
117	BA2041	negative	4.90986474335253
118	BA2464	negative	5.40147695209821
119	BA2902	positive	5.28073246291878
120	BA2541	negative	4.01070643303874
121	BA2843	negative	4.08320598972476
122	BA2497	negative	-4.2593293039235
123	BA2718	negative	3.85471716317187
124	BA2575	negative	3.18055040086097
125	BA2593	negative	3.05037898922433
126	BA2791	negative	5.71798453197329
127	BA2620	negative	1.51028957469975
128	BA2629	negative	3.80689635661131
129	BA2870	positive	2.10589181824348
130	BA2682	negative	3.98571420800687
131	BA2276	negative	-2.26970788857989
132	BA2709	negative	3.43199360390782
133	BA2789	positive	5.19197507986882
134	BA2538	negative	2.14795123434684
135	BA2583	negative	0.521473783310622
136	BA2806	positive	6.00261866586335
137	BA2441	negative	-0.2940815573697
138	BA2514	negative	-0.467690122476436
139	BA2520	negative	2.02174840979331
140	BA2479	positive	1.82959006870799
141	BA2281	negative	5.49981147623839
142	BA2932	negative	4.90950444103544
143	BA2123	positive	4.53626577730074
144	BA2844	negative	2.58314249436544
145	BA2660	negative	3.26012105846324
146	BA2836	positive	5.49691431965408
147	BA2714	positive	4.23933489780631
148	BA2440	negative	-1.09216466114694
149	BA2036	positive	5.19556313505125
150	BA2828	negative	3.62141192551751
151	BA2952	negative	-0.14370738490567
152	BA2410	positive	4.88291011197608
153	BA2139	positive	-0.83667589124871
154	BA2051	negative	4.44117628286088
155	BA2532	negative	4.33752896301929
156	BA2494	negative	4.5237112413054
157	BA2748	negative	3.05203364858804
158	BA2622	negative	-2.24528625370186
159	BA2970	positive	1.19828391483052
160	BA2839	negative	4.44843050304205
161	BA2868	negative	4.4281166894281
162	BA3011	negative	4.97596941537187
163	BA2052	negative	-0.586590827897
164	BA2510	negative	-4.54627919628903
165	BA2691	negative	-2.08150014081258
166	BA2374	negative	4.30351985382614
167	BA2804	negative	1.03724504422622
168	BA2675	negative	5.40039592941304
169	BA2031	negative	-4.59957033850824
170	BA2198	negative	3.21214927956067
171	BA2066	negative	0.244476133616038
172	BA2344	negative	4.61432758787758
173	BA2459	negative	0.745008053589273
174	BA2229	negative	6.86407290374975
175	BA2559	negative	0.907573624801598
176	BA2093	negative	6.05912302323741
177	BA2000	negative	4.36978016763227
