Sample	Feature	ExpressionGene
BA2409	yes	0.0304565329065605
BA2496	yes	0.005959578497117
BA3037	yes	0.003825844667194
BA2865	yes	0.0459392596878378
BA2751	yes	0.0375687583110864
BA2055	yes	0.0111743197978763
BA2286	yes	0.0374237734301072
BA2488	yes	0.0288779388822232
BA3379	yes	0.0493288989413432
BA2887	yes	0.0218537337427063
BA2712	no	0.0189134560021333
BA2068	yes	0.017764779322694
BA2104	no	0.039672800122625
BA3124	no	0.0019820762598817
BA2449	yes	0.0026186784236105
BA2235	yes	0.0499916053219156
BA3038	yes	0.0081793742759211
BA3006	yes	0.0376295279121756
BA2667	yes	0.0530487391486707
BA2239	yes	0.0367674816340504
BA2782	no	0.013349055272894
BA2649	yes	0.0320386526145838
BA2861	yes	0.0056717881151542
BA2134	no	0.0052501607630774
BA2909	yes	0.0099002588931853
BA2653	no	0.0
BA2947	yes	0.0459239236784531
BA2162	no	0.0408789234651871
BA2564	no	0.0232043989946878
BA3043	no	0.0056014927678493
BA2597	yes	8.964043977687402e-05
BA3243	yes	0.0789199793407963
BA2446	yes	0.0247949340101829
BA2525	yes	0.0002267528621432
BA2876	no	0.0004850953998382
BA2357	yes	0.0136936624207411
BA2546	yes	0.0098386873235987
BA2742	yes	0.0300341682770053
BA2316	no	0.0266099000631667
BA2087	yes	0.0390115974675507
BA2148	yes	0.0015383954743191
BA3178	no	0.069023103303954
BA2072	yes	0.0080919613252695
BA2733	no	0.0145592885855569
BA2995	yes	0.0415947889972945
BA2069	yes	0.0381316795345448
BA2681	no	0.0064209957059899
BA2832	yes	0.0295251073864594
BA2600	no	0.0283995665647658
BA3230	yes	0.0149795296418211
BA2731	yes	0.013083939243492
BA2294	yes	0.0323917136013697
BA2816	no	0.0377096780465931
BA2814	yes	0.0394751276466754
BA2631	yes	0.0356757526137429
BA2023	no	0.0208742707856086
BA2375	no	0.0191596472255603
BA2485	no	0.0506398527909213
BA2455	no	0.0489152442165734
BA2636	yes	0.009048840974456
BA2325	no	0.0195198598240934
BA2156	yes	0.0269099325225039
BA2511	yes	0.0004612633564119
BA2505	no	0.0318298194978628
BA2871	no	0.0298343977962275
BA2227	no	0.0675016103643965
BA2812	yes	0.0088231483053988
BA2125	no	0.0062259657068412
BA2603	yes	0.0427936347069481
BA2808	no	0.0177458525034864
BA2482	no	0.0089931354885717
BA2594	yes	0.0452894668020637
BA2747	yes	0.0462663198588656
BA2561	no	0.0880490498176395
BA2567	no	3.683625065736627e-05
BA2906	no	0.0722797488993516
BA2956	yes	0.0101051023922427
BA2474	yes	0.0229763873085397
BA2737	yes	0.1414254950429236
BA2006	yes	0.0054970351256153
BA2110	yes	0.0160934069938738
BA2915	no	0.0049941987375461
BA2992	yes	0.0104667971280888
BA2220	yes	0.0013803344908938
BA2063	no	1.5924396534573306e-05
BA2772	no	0.0289578943245231
BA2935	no	0.0184731225193935
BA2260	yes	0.0227645688850885
BA2948	no	0.0015791459334758
BA3296	yes	0.0005564532857655
BA2524	yes	0.0204043008626612
BA2811	no	0.036010647716289
BA2540	yes	0.0853623705973823
BA2928	no	0.048457028202123
BA2302	yes	0.0283130639097782
BA2651	yes	0.020436816960994
BA2619	no	0.016760796650819
BA3013	no	0.0205310055828597
BA2405	no	0.0239473552497276
BA2856	no	0.0019057642850802
BA2377	yes	0.0125813219762518
BA2499	yes	0.0072539350979398
BA2350	yes	0.0080388617705865
BA3023	no	0.0161560448808452
BA2095	yes	0.0309562966846546
BA2275	no	0.0071460625449067
BA2901	yes	0.0071300717596402
BA2387	yes	0.0589718924232179
BA2962	yes	0.0794957907539319
BA2195	yes	0.007514410524125
BA2688	no	0.0016961294582592
BA2420	no	0.0911601270860802
BA2053	yes	0.0043167881368664
BA2081	no	0.0344295573857828
BA2354	yes	0.0414508203832036
BA3273	yes	0.0125308627612748
BA2893	yes	0.0328733213792383
BA2044	no	0.0498511722029394
BA2489	yes	0.0015470772164397
BA2908	no	0.0441523711533011
BA2054	no	0.0138617442953654
BA2872	yes	0.0041916845347539
BA2041	no	0.0077890410843255
BA2464	no	0.0369511319063479
BA2902	no	0.0206218413838945
BA2541	yes	0.0150057347904395
BA2843	yes	0.0325150246491619
BA2497	yes	0.0112918651655964
BA2718	yes	0.0149684160163504
BA2575	yes	0.009958691709242
BA2593	yes	0.0539528151435498
BA2791	yes	0.0169079288845919
BA2620	yes	0.0277771140080399
BA2629	yes	0.1122863708713486
BA2870	no	0.1614335276110589
BA2682	no	0.0339636457025272
BA2276	no	0.0038341603516222
BA2709	yes	0.0062103518975478
BA2789	yes	0.0579218039557941
BA2538	no	0.0320779110958465
BA2583	yes	0.05846733834894
BA2806	yes	0.0234619669486179
BA2441	yes	0.0626982833926687
BA2514	yes	0.007787423530923
BA2520	yes	0.0226037306889513
BA2479	no	0.002845029230873
BA2281	no	0.033528053716546
BA2932	yes	0.0586627196706773
BA2123	no	0.0031830863092061
BA2844	yes	0.0048467261045244
BA2660	yes	0.0222732793411855
BA2836	yes	0.0349073799351987
BA2714	yes	0.0342390089147369
BA2440	yes	0.0031866172777151
BA2036	yes	0.0646730798117896
BA2828	no	0.0105412389208608
BA2952	yes	0.0507274901088331
BA2410	no	0.030390001993253
BA2139	yes	0.0216872944948589
BA2051	no	0.0021822300195011
BA2532	yes	0.0073030528002681
BA2494	no	3.072038976439404e-05
BA2748	yes	0.0085161906264324
BA2622	no	0.0153069097686802
BA2970	yes	0.0034509208822323
BA2839	yes	0.0045758484318429
BA2868	yes	0.0119366869884743
BA3011	yes	0.0086286930691848
BA2052	yes	0.0333011014393063
BA2510	no	0.0084369480618554
