Sample	Feature	ExpressionGene
BA2409	y	19.77564597492897
BA2496	y	8.284171063609294
BA3037	y	26.16235409359973
BA2865	y	4.956832151866369
BA2751	y	18.016002501854807
BA2055	y	0.3004430351217028
BA2286	y	24.9101121109606
BA2488	y	20.07227014942065
BA3379	y	30.8345353230422
BA2887	y	57.00853974435342
BA2712	y	18.73785733814668
BA2068	y	10.533416238559791
BA2104	y	16.299515180479013
BA3124	n	7.729906107906892
BA2449	y	18.748584770476285
BA2235	y	20.834516713230727
BA3038	y	18.69559873371755
BA3006	y	24.12659802391634
BA2667	y	18.19797458401432
BA2239	y	15.211792348243302
BA2782	n	10.778043714455212
BA2649	y	15.564718251165507
BA2861	y	19.21099517701751
BA2134	y	8.689909079135855
BA2909	y	12.81568671654708
BA2653	n	14.506371891213805
BA2947	y	4.279077716551284
BA2162	y	20.02605581396483
BA2564	n	12.83709078714571
BA3043	n	7.574069526506134
BA2597	y	15.639904408810976
BA3243	y	19.718319618058302
BA2446	y	9.477259706851182
BA2525	y	4.909004566341267
BA2876	n	5.786275242186012
BA2357	y	17.859538200731926
BA2546	y	11.24930920234188
BA2742	y	15.96839826075598
BA2316	n	13.940109911448094
BA2087	y	7.070724023001841
BA2148	y	18.681856285404933
BA3178	n	4.56841877914056
BA2072	y	15.052278755205462
BA2733	n	10.67170902252118
BA2995	y	9.623243374628457
BA2069	y	8.320193423904314
BA2681	n	12.831197489528424
BA2832	y	17.032801346673082
BA2600	n	20.664292878793542
BA3230	y	20.298059030178543
BA2731	y	20.32820077225869
BA2294	y	21.28067116756648
BA2816	n	14.49678868060166
BA2814	y	6.611645051487038
BA2631	y	15.703238318063171
BA2023	n	9.27950738447474
BA2375	n	21.0131005545279
BA2485	n	25.73592031187276
BA2455	n	13.043459365049134
BA2636	y	16.594264778409713
BA2325	y	14.504358287642296
BA2156	y	23.643710606717924
BA2511	y	7.878319747860172
BA2505	n	25.25329233733017
BA2871	n	10.720073026883972
BA2227	n	26.546058071617423
BA2812	y	8.444003624346552
BA2125	n	3.5302709630776445
BA2603	y	17.884900600530916
BA2808	n	7.234984635205433
BA2482	y	24.91837317384655
BA2594	y	19.996239574546603
BA2747	y	9.600372136993771
BA2561	n	5.673404077904259
BA2567	n	4.037822725949134
BA2906	n	21.375904053271505
BA2956	y	7.215683817534671
BA2474	y	12.61006020551686
BA2737	y	11.61493242582754
BA2006	y	0.0
BA2110	y	12.087206462765504
BA2915	n	1.3151010017371212
BA2992	y	18.698775839082742
BA2220	y	19.792162733034168
BA2063	n	6.426178642392819
BA2772	n	23.66088008849357
BA2935	n	17.996662099215996
BA2260	y	13.124690992211477
BA2948	n	9.69696955044332
BA3296	y	8.620442407569449
BA2524	y	14.205501804765362
BA2811	n	18.28650589043436
BA2540	y	15.92255153285295
BA2928	y	9.642273153864554
BA2302	y	19.935785032208077
BA2651	y	13.451274000399216
BA2619	n	14.170580585058753
BA3013	n	19.41109851359381
BA2405	n	16.436827788654107
BA2856	n	26.39150568785595
BA2377	y	14.718474873711624
BA2499	y	14.966788169585197
BA2350	y	14.01894775416651
BA3023	n	8.642659209774292
BA2095	y	21.45471519759234
BA2275	n	14.849884824533348
BA2901	y	8.5689868743314
BA2387	y	22.441587988712637
BA2962	y	26.348005729337757
BA2195	y	15.54544526080892
BA2688	n	4.389330095652561
BA2420	n	15.443013028750242
BA2053	y	18.355731148599983
BA2081	n	18.75363244663632
BA2354	y	12.76367896441177
BA3273	y	14.35917226261454
BA2893	y	25.46305715897135
BA2044	n	12.012949892082558
BA2489	y	10.14566313230312
BA2908	n	24.07245056956194
BA2054	n	13.509985234031824
BA2872	y	26.05270092367641
BA2041	n	19.57660648945225
BA2464	n	14.929399353513654
BA2902	n	18.70115452587419
BA2541	y	11.782884500130768
BA2843	y	12.77034540675318
BA2497	y	7.787012541711005
BA2718	y	18.16061828911201
BA2575	y	10.407940087324118
BA2593	y	0.0301971860163719
BA2791	y	14.201244317288086
BA2620	y	16.712861987983207
BA2629	y	6.133993063040827
BA2870	n	12.365074769848258
BA2682	n	13.358942570513149
BA2276	n	11.633110444233264
BA2709	y	15.62796902473672
BA2789	y	21.05373818895332
BA2538	n	22.102592583537973
BA2583	y	25.445954031729904
BA2806	y	30.030704050414123
BA2441	y	31.043212056568528
BA2514	y	16.30825880788086
BA2520	y	19.428454787691475
BA2479	n	8.977966242943848
BA2281	n	23.080322035359416
BA2932	y	31.514577924346398
BA2123	n	23.94208351784773
BA2844	y	20.068912255866746
BA2660	y	19.63744146947334
BA2836	y	23.740963763895017
BA2714	y	24.01916055375944
BA2440	y	15.342224685058577
BA2036	y	29.90171450035925
BA2828	n	14.071271166712922
BA2952	y	11.917375127381607
BA2410	n	23.307433016985478
BA2139	y	6.772577890549791
BA2051	n	7.602126151914731
BA2532	y	18.287172744150023
BA2494	n	10.408286598054364
BA2748	y	24.936360429508788
BA2622	n	12.844797382145805
BA2970	y	13.91572446976288
BA2839	y	11.720625987208074
BA2868	y	14.73464548310346
BA3011	y	16.675243345752794
BA2052	y	12.327448944106749
BA2510	n	4.736480684671991
BA2691	n	11.535418694127886
BA2374	n	9.850582773769377
BA2804	y	27.91873158074005
BA2675	y	27.28116939806248
BA2031	y	7.264489730666247
BA2198	n	19.105163854628177
BA2066	y	10.4936451653414
BA2344	y	20.18802807664552
BA2459	n	14.494340835383188
BA2229	y	25.50700721092024
BA2559	y	17.32011447265791
BA2093	y	20.055716154844067
BA2000	y	19.669101002994346
BA2425	y	22.64785219671808
BA2905	n	16.5212158014834
BA2304	y	9.440728490151802
BA2976	y	14.114558268718593
