Sample	Feature	ExpressionGene
BA2409	negative	6.5150208040986
BA2496	negative	6.50248754607679
BA3037	positive	6.78374639595141
BA2865	positive	5.56931523967556
BA2751	negative	5.87851415939896
BA2286	negative	5.55999957718043
BA2488	negative	6.16391479568772
BA3379	negative	5.53058601108242
BA2887	negative	5.50426621763009
BA2712	negative	5.5985184260425
BA2068	positive	6.63707820351379
BA2104	positive	6.74390931891346
BA3124	negative	5.17381001168529
BA2449	negative	6.24819820835326
BA2235	positive	6.01332316435917
BA3038	negative	6.51917819512762
BA3006	positive	5.63093531655524
BA2667	negative	5.75178499179692
BA2239	positive	6.60579006500373
BA2782	positive	6.70531293865616
BA2649	negative	5.21851473599856
BA2861	negative	5.81648610262315
BA2134	negative	6.26474966230624
BA2909	negative	6.38837422038712
BA2653	negative	5.52318463233397
BA2947	negative	5.52649386671832
BA2162	negative	5.88920214405522
BA2564	negative	6.4796588578531
BA2597	negative	6.22761949631351
BA3243	negative	6.46528423305325
BA2446	negative	6.0034734513655
BA2525	positive	5.25385282871793
BA2876	negative	6.12637853560869
BA2357	negative	5.61405116349114
BA2546	negative	5.42125052108752
BA2742	negative	6.52477924694933
BA2316	negative	6.34548467937847
BA2087	negative	5.61137441450638
BA2148	negative	6.05871195652162
BA3178	negative	5.02056262861089
BA2072	negative	6.28373604828764
BA2733	negative	5.95316910567884
BA2995	negative	5.88606180557595
BA2069	positive	6.01046707595227
BA2681	negative	5.94059984274879
BA2832	negative	5.75263805334011
BA2600	negative	6.20186257831003
BA3230	negative	5.89320305044255
BA2731	negative	6.92559422045597
BA2294	negative	5.87540174868111
BA2816	negative	5.97201044807817
BA2814	negative	5.98386136715206
BA2631	positive	5.99890598903284
BA2023	negative	5.88606180557595
BA2375	negative	4.9161710012101
BA2485	positive	6.26033254809805
BA2455	positive	6.30695343234241
BA2636	negative	6.22545256194412
BA2325	positive	6.55550004595218
BA2156	negative	5.08758890657065
BA2511	negative	5.74510782456024
BA2505	negative	6.06843510757967
BA2871	negative	5.69181620547997
BA2227	negative	5.97812067314416
BA2812	negative	6.5384133804095
BA2125	negative	5.55170379118917
BA2603	positive	6.12904074966952
BA2808	negative	5.32920195672699
BA2482	negative	6.08749744481029
BA2594	negative	5.9773343667847
BA2747	negative	5.58529928737232
BA2561	negative	6.20050527440426
BA2567	negative	6.19646958807837
BA2906	negative	5.5268548517384
BA2956	negative	5.83522810280634
BA2474	positive	5.70530146482159
BA2737	negative	5.37084951659886
BA2110	positive	7.00490622738367
BA2992	negative	6.26474966230624
BA2220	negative	5.27393628173687
BA2063	negative	5.06527754778608
BA2772	positive	6.64684027167279
BA2935	negative	6.46777351288485
BA2260	negative	6.27826772534182
BA2948	negative	5.96141985766576
BA3296	negative	6.55077235024982
BA2524	negative	6.31991412295615
BA2811	negative	4.87868918551591
BA2540	negative	6.6268478891503
BA2928	negative	5.17276723762689
BA2302	negative	5.50645735096181
BA2651	negative	6.06801263248952
BA2619	negative	4.95436820669726
BA3013	negative	5.89840678151491
BA2405	negative	5.04210102667198
BA2856	positive	6.29315264064962
BA2377	positive	6.29225118298982
BA2499	negative	5.45089515331898
BA3023	positive	6.389795387917
BA2095	negative	5.32375937310038
BA2275	negative	5.45784014927661
BA2901	positive	6.24864350807345
BA2387	negative	5.41609656191544
BA2962	negative	5.50092424285105
BA2195	negative	6.25534556152395
BA2688	negative	5.37049633306029
BA2420	negative	5.1202705939931
BA2053	negative	5.98835302463094
BA2081	negative	5.89878476046271
BA2354	negative	5.75023036618314
BA3273	negative	5.17491023231992
BA2893	positive	6.30142372411484
BA2044	negative	5.48059363504872
BA2489	negative	6.03692689677874
BA2908	negative	5.32233498083344
BA2054	positive	6.61753222574519
BA2872	negative	6.07349886728139
BA2041	negative	6.0034734513655
BA2464	negative	5.82740134896472
BA2902	positive	6.42189529871828
BA2541	negative	6.16697408993369
BA2843	negative	5.08188769059011
BA2497	negative	6.72355108630667
BA2718	negative	5.47909452923675
BA2575	negative	6.60156923670466
BA2593	negative	5.05433671594027
BA2791	negative	6.36512999451549
BA2620	negative	6.18904995277038
BA2629	negative	4.31442823390997
BA2870	positive	5.20116609846323
BA2682	negative	6.34878143548061
BA2276	negative	6.40549948389557
BA2709	negative	6.42953951724595
