Sample	Feature	ExpressionGene
BA2409	Female	0.001952200457255
BA2496	Male	0.0
BA3037	Female	0.0203094132604608
BA2865	Female	0.0136115875996424
BA2751	Male	0.0003478848530017
BA2055	Male	0.0048723894407168
BA2286	Male	0.00222065907034
BA2488	Female	0.0417999486066445
BA3379	Male	0.0086091602038024
BA2887	Male	0.0156012221364041
BA2712	Female	0.0
BA2068	Female	0.0144871890901005
BA2104	Male	0.0
BA3124	Female	0.0003860716574417
BA2449	Female	1.974650764655463e-05
BA2235	Female	0.010252135554641
BA3038	Male	0.0052305839753295
BA3006	Female	0.0037840933367488
BA2667	Male	0.0023974968702899
BA2239	Male	0.001647740303156
BA2782	Male	0.002824127343963
BA2649	Female	0.0399585847096798
BA2861	Female	0.0001576510934152
BA2134	Male	0.0
BA2909	Male	0.000913850960471
BA2653	Female	0.0146662971525001
BA2947	Male	0.0039478139921308
BA2162	Male	0.0
BA2564	Female	0.0004918591848129
BA3043	Male	0.0001386673576206
BA2597	Female	0.021592068797674
BA3243	Male	0.0056936998736311
BA2446	Female	0.0013840114344608
BA2525	Female	0.0
BA2876	Female	0.0
BA2357	Male	2.818767251929088e-05
BA2546	Male	0.0
BA2742	Male	2.2252520317044915e-05
BA2316	Male	3.214678821918744e-05
BA2087	Female	0.0
BA2148	Female	0.0524587303650654
BA3178	Male	0.0
BA2072	Female	0.0070169386984838
BA2733	Female	0.0078884015932966
BA2995	Male	0.0
BA2069	Male	0.0
BA2681	Female	0.0
BA2832	Male	0.0120759690194885
BA2600	Female	0.0016468830830266
BA3230	Female	0.0
BA2731	Male	0.0
BA2294	Male	0.0071202271449206
BA2816	Male	0.0010007691195699
BA2814	Male	0.0
BA2631	Male	0.0097702606624232
BA2023	Male	0.0
BA2375	Male	0.0088723977775251
BA2485	Male	0.0210625197619418
BA2455	Male	0.0
BA2636	Male	0.0
BA2325	Female	3.103358672637624e-05
BA2156	Male	0.00167302038752
BA2511	Female	0.0028552425651442
BA2505	Male	0.0040837122957841
BA2871	Female	1.9859461985574864e-05
BA2227	Male	0.0317073742643179
BA2812	Male	0.0
BA2125	Female	0.0145563670750598
BA2603	Female	0.0106746308869148
BA2808	Male	0.008535877583431
BA2482	Female	0.0046647569435802
BA2594	Male	3.129756088709124e-05
BA2747	Male	0.0222965157224054
BA2561	Male	0.0
BA2567	Male	0.0
BA2906	Male	0.0003980397449058
BA2956	Male	0.0026626562991145
BA2474	Female	0.0133935593076163
BA2737	Female	0.0
BA2006	Female	0.0051853524544935
BA2110	Female	0.0001177396081452
BA2915	Female	0.0
BA2992	Female	0.0125607089475893
BA2220	Male	0.0114375671128953
BA2063	Male	0.0
BA2772	Male	0.0149610520423222
BA2935	Male	0.0030839248183975
BA2260	Male	0.0014076983558869
BA2948	Male	0.0002235944326817
BA3296	Male	0.0
BA2524	Female	0.022551280866626
BA2811	Female	0.0292347647106137
BA2540	Female	0.0
BA2928	Female	0.0
BA2302	Female	0.0013631111064281
BA2651	Female	0.0153910055873731
BA2619	Female	0.0169797918611143
BA3013	Male	0.0075459126147936
BA2405	Female	0.0006222464985742
BA2856	Male	0.0004715315097441
BA2377	Male	0.0
BA2499	Male	0.0024722405440208
BA2350	Male	0.0
BA3023	Female	0.0170658695655062
BA2095	Female	0.0190253754930728
BA2275	Male	0.0061004685791071
BA2901	Male	3.768873442408578e-05
BA2387	Female	0.0312233971522562
BA2962	Male	0.0015232388679268
BA2195	Female	0.0056816456651549
BA2688	Female	0.0023830270505265
BA2420	Male	0.0082164841136169
BA2053	Male	0.0186476012136588
BA2081	Female	0.0006190185639174
BA2354	Male	0.0003413107970846
BA3273	Male	0.0
BA2893	Female	0.0079305389991347
BA2044	Male	0.0047642513641215
BA2489	Male	0.0
BA2908	Male	0.0041424648146381
BA2054	Female	0.0002122734416242
BA2872	Male	0.0
BA2041	Female	0.01406489485316
BA2464	Female	0.0144834404113917
BA2902	Male	0.0116468660507053
BA2541	Male	0.010131527163563
BA2843	Male	0.0038641297307187
BA2497	Male	0.0
BA2718	Male	0.0070615518584152
BA2575	Female	0.0022399367723484
BA2593	Male	0.003454016132361
BA2791	Male	0.0184035922025625
BA2620	Female	0.0023319542445613
BA2629	Male	0.0050774500958759
BA2870	Female	0.00059786525395
BA2682	Female	0.0047637037205714
BA2276	Male	0.0
BA2709	Female	0.0011861294080527
BA2789	Female	0.0107865189991659
BA2538	Male	0.0003602934242799
BA2583	Male	2.627367071256846e-05
BA2806	Male	0.01911524131019
BA2441	Male	0.0
BA2514	Female	0.0
BA2520	Male	0.0025349067028921
BA2479	Female	5.55706022846634e-05
BA2281	Male	0.0202697547725008
BA2932	Female	0.0141257566780801
BA2123	Male	0.0086202958105313
BA2844	Male	0.0001091967006103
BA2660	Female	0.0019079621156603
BA2836	Male	0.0149101811522615
BA2714	Male	0.0074166674099287
BA2440	Male	0.0002805786029945
BA2036	Female	0.0170712915818018
BA2828	Male	0.0029665602752045
BA2952	Female	0.0
BA2410	Female	0.0131230492653019
BA2139	Female	0.0
BA2051	Male	0.0044246550739742
BA2532	Female	0.0056937908035819
BA2494	Male	0.0054514900300251
BA2748	Female	0.0014254006702184
BA2622	Male	0.0
BA2970	Male	4.587841602597215e-05
BA2839	Male	0.0076985922977601
BA2868	Male	0.0043620599778753
BA3011	Male	0.0075660021352708
BA2052	Male	0.0002768298343693
BA2510	Male	0.0
BA2691	Male	0.0
BA2374	Female	0.0174886475395998
BA2804	Male	0.0
BA2675	Male	0.0196241175202438
BA2031	Female	0.0
BA2198	Male	0.0019064320691316
BA2066	Female	1.5313765896373392e-05
BA2344	Female	0.0103850784287247
BA2459	Male	0.0
BA2229	Female	0.0538654325566981
BA2559	Female	2.254307305036941e-05
BA2093	Male	0.041968179117709
BA2000	Female	0.0056921669745343
BA2425	Female	5.038714961646223e-05
BA2905	Male	0.0007504191052292
BA2304	Female	0.0
BA2976	Male	0.005038100239755
BA2386	Female	0.0201635305140542
BA2035	Male	0.0048999577704581
BA2760	Female	0.0001080697535235
BA2201	Male	0.0012411120526711
BA2355	Female	0.0123921658224927
